id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.394213173750217,0.5930499658635636,0.42704284219484195,0.3886630357263702,0.4069500341364363
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",3.2269791493581526,0.5127654297802362,0.5227495296777172,0.45623830170435203,0.4872345702197636
2,Ms. Haag plays Elianti .,1.3509775004326938,0.41027247824384333,0.7082316448032829,0.5051961085524235,0.5897275217561565
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.4182263988300132,0.22333777938691926,0.8314203658736435,0.72867123216055,0.7766622206130805
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.36371066471669,0.2491760123911726,0.8383236270539567,0.6798635456111305,0.7508239876088273
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.271527688997491,0.36619499461558347,0.6737096542580293,0.5983632182968929,0.6338050053844166
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.5673183336217944,0.26210229974048876,0.7907955248402121,0.6916330436356064,0.7378977002595108
7,The new rate will be payable Feb. 15 .,0.44444444444444464,0.07538827312875093,0.9246117268712492,0.9246117268712492,0.9246117268712492
8,A record date has n't been set .,0.5943609377704338,0.12115871759637824,0.8622556248918267,0.8960775105770448,0.8788412824036219
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.2220257359304325,0.37326777803659356,0.7012579380661094,0.5665251431013176,0.6267322219634063
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.3028467597178883,0.21371827240588448,0.7518580828863165,0.8240087746810287,0.7862817275941155
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.8900114800704424,0.32396741201877355,0.7162952644857027,0.6400553284460898,0.6760325879812262
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.9418092353916165,0.3145742466785371,0.7243077067763282,0.6505056101039333,0.6854257533214629
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.9482009105155154,0.33845634100185046,0.6641932523927881,0.6589151210746801,0.6615436589981496
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.9475787161706348,0.2975343030398941,0.731186377583101,0.6759160120833415,0.7024656969601059
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",2.4247056112286502,0.35505001927050245,0.6883330946216671,0.6067111961526602,0.6449499807294972
16,`` Apparently the commission did not really believe in this ideal . '',1.1930596157174564,0.20220912397478455,0.8191502648510406,0.7775170749472929,0.7977908760252154
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.6392478989635748,0.2688562757058533,0.7557616238188613,0.708079020256706,0.7311437242941468
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",1.0985798617120732,0.17293985012583074,0.8042355096171157,0.8512181839277293,0.827060149874169
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",2.153767343775308,0.3154770280028212,0.7226066211067833,0.6502526077060878,0.6845229719971789
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",2.1483842685688748,0.320864282396773,0.7314301874051925,0.6338200037883801,0.6791357176032267
21,"The SEC will probably vote on the proposal early next year , he said .",0.7999999999999998,0.1234482581364759,0.8765517418635239,0.8765517418635239,0.8765517418635239
22,Not all those who wrote oppose the changes .,1.2788638893696596,0.25269065369583893,0.7816298354526364,0.7158760328571389,0.747309346304161
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",2.680441986356203,0.38989970936698437,0.6513136579002843,0.5737922673589173,0.6101002906330159
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,2.1729007566984118,0.3322361123878166,0.7033990151062756,0.6355653058426284,0.6677638876121833
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",1.0838763891292738,0.1883401523873066,0.91311732856428,0.730493862851424,0.8116598476126933
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.8754887502163458,0.1517740954247139,0.9244267583903902,0.7836309070274349,0.848225904575286
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",1.5780959575386335,0.25905125474883334,0.824745336791951,0.6726095993931341,0.7409487452511665
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",1.5928769740258089,0.2539906880795792,0.7413129046152026,0.7507656045028677,0.7460093119204205
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.438703838836509,0.26041183205585,0.728450852916913,0.7510713283499104,0.7395881679441496
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",2.3705894535253353,0.3522423342939078,0.6958534900996813,0.6058805669139229,0.6477576657060923
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",1.7989497735214988,0.26113609807464533,0.767163111434704,0.7125782265275982,0.7388639019253543
