id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.055339990725317,0.5504164833174415,0.46863577486051206,0.43201986809552667,0.44958351668255847
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.5389168763505436,0.38243127934854054,0.6989699446900084,0.5531495675568433,0.6175687206514595
2,Ms. Haag plays Elianti .,1.1019550008653876,0.4018944976291136,0.5981055023708863,0.5981055023708863,0.5981055023708863
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.5559707739381876,0.2504622382773836,0.7849785731562448,0.717158923564283,0.7495377617226165
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.3637106647166894,0.26533670903786877,0.7703193376265072,0.7021620643791414,0.7346632909621309
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.793103448275862,0.2747926768852146,0.8109122233335412,0.6558869636962446,0.7252073231147855
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.4843108337660267,0.26843634883871015,0.724965462047064,0.7382830487470797,0.7315636511612896
7,The new rate will be payable Feb. 15 .,0.44444444444444464,0.07538827312875093,0.9246117268712489,0.9246117268712489,0.9246117268712489
8,A record date has n't been set .,0.75,0.14285714285714285,0.9,0.818181818181818,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.6626272062641414,0.2792970184593916,0.8064029087414202,0.6514685944688497,0.7207029815406085
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,2.1370368786088205,0.3203628895315743,0.711136396819533,0.6508099419891468,0.6796371104684255
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.9684990699426521,0.31695765633563466,0.7704472823613836,0.6134484524207272,0.6830423436643651
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.8535965626484074,0.29037563785205917,0.7754661527005001,0.6540882900137869,0.7096243621479407
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.2652808826074669,0.2039537931097137,0.861386970293453,0.7399194018200129,0.7960462068902864
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.217947591768292,0.33265359999561694,0.7075471203585527,0.6314682542642809,0.6673464000043833
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",2.036578986255984,0.30946545602765635,0.7101950301953831,0.6719332666196381,0.6905345439723436
16,`` Apparently the commission did not really believe in this ideal . '',0.8853673080251498,0.15005901246939615,0.8726966000316152,0.8283419256373168,0.849940987530604
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.5446232142545782,0.25950609408800707,0.7472296680028474,0.7338784954689295,0.7404939059119929
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",1.3899750004807698,0.21366379797569776,0.7830579615315367,0.7896420063544908,0.7863362020243021
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.7904403106840672,0.2614285169673035,0.7821360171297898,0.6996039390387996,0.7385714830326966
