id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.6764666273875983,0.5445089577006423,0.4355579660190001,0.47733607111099097,0.45549104229935755
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.573390750399727,0.42543017221472057,0.5925137031863205,0.5576808419480738,0.5745698277852793
2,Ms. Haag plays Elianti .,1.1019550008653876,0.4018944976291136,0.5981055023708863,0.5981055023708863,0.5981055023708863
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.8559707739381874,0.3139117482983531,0.6838307926804309,0.6883606647152823,0.6860882517016468
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.2378960810227788,0.2575615639035634,0.7279828422902023,0.7574797515909028,0.7424384360964364
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.3802010878952746,0.23206248065972435,0.7826629878259014,0.7537559248483228,0.767937519340276
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.7333333333333316,0.33463350090278354,0.6176682336889603,0.721048078187136,0.6653664990972162
7,The new rate will be payable Feb. 15 .,0.8888888888888893,0.16307012108499602,0.7738351806137472,0.9112268122170702,0.836929878915004
8,A record date has n't been set .,1.0943609377704333,0.22308223737786706,0.7622556248918265,0.7921550211540894,0.7769177626221327
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.6337904418127862,0.2964519009074822,0.7287911482657026,0.6799951895276538,0.7035480990925179
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.9166458784357445,0.3231536652094269,0.6296930246859662,0.7316332348399245,0.6768463347905733
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.3417847170699266,0.2473213682860581,0.7416382494280893,0.7640526860415554,0.7526786317139418
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.3758118040767968,0.24095035889364813,0.7419607373328273,0.7769442890643257,0.7590496411063518
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.3540911769796402,0.25033716094218095,0.7072833430412068,0.7974446851756054,0.7496628390578193
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.107189207261524,0.356340767304109,0.6052558826936373,0.687266113444998,0.643659232695891
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",2.229538645248554,0.35281018129107217,0.6391587095696584,0.655425319841077,0.6471898187089276
16,`` Apparently the commission did not really believe in this ideal . '',1.2888375001664203,0.22204684119217796,0.7858146592777019,0.7702473973982094,0.7779531588078218
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.174694627090111,0.21073998956923592,0.7458573065354277,0.8380261775259886,0.7892600104307638
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",1.0621897488202086,0.1746254963580665,0.7685198597912819,0.8913133361109988,0.8253745036419334
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.922286649081257,0.30461569822451084,0.6785371239462578,0.7130893659984177,0.6953843017754895
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.7886673981179353,0.2933245915865963,0.6931493425920263,0.7207398738536799,0.7066754084134034
21,"The SEC will probably vote on the proposal early next year , he said .",0.9836591668108978,0.14986910296433875,0.8610201506583447,0.839513634617286,0.850130897035661
22,Not all those who wrote oppose the changes .,1.0566416671474381,0.2183701645473637,0.7816298354526364,0.7816298354526364,0.7816298354526364
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",2.775857171783365,0.4491126799365227,0.5287373968216419,0.5749742003964637,0.5508873200634775
