id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,6.758710131612194,0.9424290648591583,0.05847348175990369,0.05669582688105758,0.057570935140841654
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",3.5303096140698895,0.5422434101690131,0.5080790084489106,0.4165041545362053,0.4577565898309867
2,Ms. Haag plays Elianti .,1.3509775004326938,0.41027247824384333,0.7082316448032829,0.5051961085524235,0.5897275217561565
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.6559707739381864,0.26233629818564136,0.7849785731562448,0.6957284163983212,0.7376637018143585
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.8008033728697348,0.35760108791153633,0.6599785528627529,0.62573149929003,0.6423989120884634
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.3448275862068964,0.38367448651169,0.6454604187503896,0.5897072064723656,0.6163255134883101
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.4339850002884615,0.24527394344523148,0.7907955248402121,0.721803429780843,0.7547260565547682
7,The new rate will be payable Feb. 15 .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.9184649394575018,0.8824880799443541
8,A record date has n't been set .,1.3443609377704333,0.2887596997535768,0.6622556248918265,0.7680502228963819,0.711240300246423
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.03113676546946,0.35802307716841375,0.6845650879740679,0.6043773946853075,0.6419769228315862
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,2.826841378522284,0.46033231736173047,0.5198312616035492,0.5610780543122367,0.5396676826382696
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",3.0717224625658868,0.5054603131189589,0.5458299902744326,0.45206065736356177,0.49453968688104116
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",3.1822792507221958,0.5186377281279156,0.5056214855176697,0.45932434859480803,0.48136227187208425
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.9482009105155167,0.35288109361630265,0.6231524416725054,0.6730026103255732,0.6471189063836976
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,3.430205552180495,0.540745172689554,0.46326150953916145,0.4553168572378956,0.45925482731044587
