id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,0.4261139553229345,0.04895364612780777,0.9510456506524153,0.9510470570930096,0.9510463538721925
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",0.31962467357675095,0.04327091050131075,0.9451289991455268,0.9686174667917297,0.9567290894986894
2,Ms. Haag plays Elianti .,0.0,0.0,1.0,1.0,1.0
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.0,0.0,1.0,1.0,1.0
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",8.881784197001252e-16,1.6139137319570045e-16,1.0,1.0,1.0
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",0.2849883622927729,0.04451361649372498,0.9415162852252376,0.9698772988824157,0.9554863835062751
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.13333333333333286,0.020471469642459272,1.0,0.9598784086543216,0.9795285303575406
7,The new rate will be payable Feb. 15 .,0.0,0.0,1.0,1.0,1.0
8,A record date has n't been set .,0.0,0.0,1.0,1.0,1.0
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",8.881784197001252e-16,1.3986519292398823e-16,1.0,1.0,1.0
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,0.0,0.0,1.0,1.0,1.0
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",0.131773198351417,0.019716735282166366,1.0,0.9613289953965294,0.9802832647178337
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",0.0,0.0,1.0,1.0,1.0
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.27969926483314644,0.04314042054489637,0.9503506399531091,0.9634582931076162,0.9568595794551037
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,0.24704771979007667,0.034472961998772936,0.9770533167816758,0.9542695389996065,0.965527038001227
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",0.16407456701985446,0.022341060864681087,0.9776589391353188,0.9776589391353188,0.9776589391353188
16,`` Apparently the commission did not really believe in this ideal . '',8.881784197001252e-16,1.4670999059392063e-16,1.0,1.0,1.0
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",0.09182958340544989,0.013628019889236575,0.9731104120607762,1.0,0.9863719801107634
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.0,0.0,1.0,1.0,1.0
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",0.0,0.0,1.0,1.0,1.0
