id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,0.24574093312723466,0.03551706868681047,0.9647007133747784,0.9642652475584039,0.9644829313131895
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",0.0,0.0,1.0,1.0,1.0
2,Ms. Haag plays Elianti .,0.0,0.0,1.0,1.0,1.0
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",-8.881784197001252e-16,-1.497287930319725e-16,1.0,1.0,1.0
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.0,0.0,1.0,1.0,1.0
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",0.0,0.0,1.0,1.0,1.0
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.0,0.0,1.0,1.0,1.0
7,The new rate will be payable Feb. 15 .,0.0,0.0,1.0,1.0,1.0
8,A record date has n't been set .,0.0,0.0,1.0,1.0,1.0
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.0,0.0,1.0,1.0,1.0
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,-8.881784197001252e-16,-1.3931767697742805e-16,1.0,1.0,1.0
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",8.881784197001252e-16,1.6131009603948898e-16,1.0,1.0,1.0
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",0.5071911152276725,0.08866219474986285,0.8924663232495228,0.9310246144850342,0.9113378052501372
13,The proposed changes also would allow executives to report exercises of options later and less often .,8.881784197001252e-16,1.5491914023719888e-16,1.0,1.0,1.0
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,0.04166666666666696,0.0065821189237179655,1.0000000000000002,0.9869218441298047,0.9934178810762821
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",0.08863942113386614,0.014047149331257357,0.9722948793051266,1.0,0.9859528506687425
16,`` Apparently the commission did not really believe in this ideal . '',0.0,0.0,1.0,1.0,1.0
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",0.0,0.0,1.0,1.0,1.0
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.0,0.0,1.0,1.0,1.0
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",0.0,0.0,1.0,1.0,1.0
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",0.0,0.0,1.0,1.0,1.0
21,"The SEC will probably vote on the proposal early next year , he said .",0.0,0.0,1.0,1.0,1.0
22,Not all those who wrote oppose the changes .,0.5283208335737202,0.10732468827245432,0.9081491772631822,0.8777199272247982,0.892675311727546
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",0.08628561354325548,0.01322188433695466,1.0,0.9739013052494281,0.9867781156630453
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,0.31374955137290605,0.050050156710661244,0.9591005045118336,0.9409721425625751,0.9499498432893387
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.0,0.0,1.0,1.0,1.0
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.0,0.0,1.0,1.0,1.0
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",-8.881784197001252e-16,-1.6228717912002843e-16,1.0,1.0,1.0
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",0.2952442354966722,0.04741803633058771,0.9397949093745747,0.9657217846784539,0.9525819636694121
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,0.0,0.0,1.0,1.0,1.0
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",-8.881784197001252e-16,-1.4177206590612654e-16,1.0,1.0,1.0
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",0.049999999999998934,0.007593226925915038,0.9849279913302287,1.0000000000000002,0.992406773074085
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",0.2504443183784968,0.040666767317769095,0.9593332326822309,0.9593332326822309,0.9593332326822309
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",-1.7763568394002505e-15,-2.831421770030646e-16,1.0,1.0,1.0
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",8.881784197001252e-16,1.4390220817591442e-16,1.0,1.0,1.0
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",0.6628309781668049,0.10074153848909163,0.894794877942339,0.903766800505687,0.8992584615109084
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",8.881784197001252e-16,1.4674440176082016e-16,1.0,1.0,1.0
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",0.0,0.0,1.0,1.0,1.0
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",-1.7763568394002505e-15,-2.7237817298622343e-16,1.0,1.0,1.0
39,"For its employees to sign up for the options , a college also must approve the plan .",0.0,0.0,1.0,1.0,1.0
40,"Some 4,300 institutions are part of the pension fund .",0.0,0.0,1.0,1.0,1.0
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",0.10833707027472528,0.017755560891431328,1.0,0.9651083981778892,0.9822444391085685
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",0.0,0.0,1.0,1.0,1.0
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",0.21613125009833922,0.040075796966645476,0.9538553492199792,0.9660707768538972,0.9599242030333544
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",0.15452916656364302,0.026022752057684832,0.9492745126645652,1.0,0.973977247942315
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",0.40247667102731377,0.06543543364219176,0.9159773893388642,0.9539217164493143,0.9345645663578083
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",0.08695652173912993,0.013923185554641693,1.0,0.9725360150492555,0.9860768144453582
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",0.0,0.0,1.0,1.0,1.0
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",0.0,0.0,1.0,1.0,1.0
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",8.881784197001252e-16,1.4919591369450973e-16,1.0,1.0,1.0
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",-8.881784197001252e-16,-1.7570326125436586e-16,1.0,1.0,1.0
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",0.22514913837864903,0.03807520354121042,0.9479430687297383,0.9763251468903176,0.9619247964587896
52,"Solo woodwind players have to be creative if they want to work a lot , because their repertoire and audience appeal are limited .",0.45228137384472333,0.07501861733243276,0.9537501334728589,0.8978973649216407,0.9249813826675672
53,"The oboist Heinz Holliger has taken a hard line about the problem : He commissions and splendidly interprets fearsome contemporary scores and does some conducting , so he does n't have to play the same Mozart and Strauss concertos over and over again .",0.11920710222355702,0.0168703616434444,0.9870826829202566,0.9792081296111693,0.9831296383565556
54,"Richard Stoltzman has taken a gentler , more audience-friendly approach .",0.0,0.0,1.0,1.0,1.0
55,"Years ago , he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi , which won audiences over to dreaded contemporary scores like Messiaen 's `` Quartet for the End of Time . ''",0.29759840656116054,0.046968137255830565,0.9646698245302116,0.941671358859072,0.9530318627441697
56,"Today , the pixie-like clarinetist has mostly dropped the missionary work -LRB- though a touch of the old Tashi still survives -RRB- and now goes on the road with piano , bass , a slide show , and a repertoire that ranges from light classical to light jazz to light pop , with a few notable exceptions .",0.07140878362200542,0.011329001723017798,1.0,0.9775958136200656,0.9886709982769823
57,"Just the thing for the Vivaldi-at-brunch set , the yuppie audience that has embraced New Age as its very own easy listening .",-8.881784197001252e-16,-1.4006720140471955e-16,1.0,1.0,1.0
58,But you ca n't dismiss Mr. Stoltzman 's music or his motives as merely commercial and lightweight .,0.1111111111111116,0.016862336510246073,1.0,0.9668345735606345,0.9831376634897541
59,"He believes in what he plays , and he plays superbly .",8.881784197001252e-16,1.8854180611486297e-16,1.0,1.0,1.0
60,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",0.0,0.0,1.0,1.0,1.0
61,"It felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",0.0,0.0,1.0,1.0,1.0
62,"Clad in his trademark black velvet suit , the soft-spoken clarinetist announced that his new album , `` Inner Voices , '' had just been released , that his family was in the front row , and that it was his mother 's birthday , so he was going to play her favorite tune from the record .",0.09043297410063023,0.01390736898583185,0.982847852516242,0.9893589051316568,0.9860926310141682
63,"He launched into Saint-Saens 's `` The Swan '' from `` Carnival of the Animals , '' a favorite encore piece for cellists , with lovely , glossy tone and no bite .",0.0,0.0,1.0,1.0,1.0
64,"Then , as if to show that he could play fast as well , he offered the second movement from Saint-Saens 's Sonata for Clarinet , a whimsical , puckish tidbit that reflected the flip side of the Stoltzman personality .",0.15829817062617302,0.022808644225568032,0.9771913557744321,0.9771913557744321,0.9771913557744321
65,"And so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",0.0,0.0,1.0,1.0,1.0
66,"Mr. Stoltzman introduced his colleagues : Bill Douglas , pianist/bassoonist/composer and an old buddy from Yale , and jazz bassist Eddie Gomez .",0.0,0.0,1.0,1.0,1.0
67,"An improvisational section was built around pieces by Mr. Douglas , beginning with `` Golden Rain , '' a lilting , laid-back lead in to the uptempo `` Sky , '' which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers .",-8.881784197001252e-16,-1.4213442691612645e-16,1.0,1.0,1.0
68,Bach 's `` Air '' followed .,8.881784197001252e-16,2.086801756748238e-16,1.0,1.0,1.0
69,"Mr. Stoltzman tied the composer in by proclaiming him `` the great improviser of the 18th century , '' and then built on the image by joining with Mr. Douglas in some Bach two-part inventions , cleverly arranged for clarinet and bassoon by Mr. Douglas .",-8.881784197001252e-16,-1.3660117940395258e-16,1.0,1.0,1.0
70,"Keeping the mood light , the two then chanted and chortled their way through some murderous polyrhythms , devised by Mr. Douglas as an alternative to Hindemith 's dry theory-teaching techniques , and then , with Mr. Gomez , soared and improvised on the composer 's tight `` Bebop Etudes . ''",0.0,0.0,1.0,1.0,1.0
71,"The end of the first half , however , brought what the standing-room-only crowd seemed to be waiting for : the pop singer Judy Collins , who appears on `` Inner Voices . ''",1.7763568394002505e-15,2.7883022005231355e-16,1.0,1.0,1.0
72,"Glamorous and pure-voiced as ever , Ms. Collins sang Joni Mitchell 's `` For Free '' -- about an encounter with a street-corner clarinetist , to which Mr. Stoltzman contributed a clarinet obligatto -- and Mr. Douglas 's lush setting of a Gaelic blessing , `` Deep Peace . ''",0.07800269059780263,0.012168711991981216,1.0,0.9759551706196631,0.9878312880080187
73,"`` Deep Peace '' also featured a slide show of lovely but predictable images of clouds , beaches , deserts , sunsets , etc .",0.25394062182387067,0.04747313919260866,0.9695539807924802,0.9360874731734655,0.9525268608073911
74,"It was all too mellow to be believed , but they probably would have gotten away with it , had they not felt compelled to add Ms. Collins 's signature tune , `` Amazing Grace , '' and ask for audience participation .",0.343573113856408,0.05168971390185634,0.948310286098143,0.948310286098143,0.948310286098143
75,That went over the permissible line for warm and fuzzy feelings .,0.0,0.0,1.0,1.0,1.0
76,Was this why some of the audience departed before or during the second half ?,0.21634083318910147,0.03732500323731291,0.928036048257146,1.0,0.9626749967626872
77,Or was it because Ms. Collins had gone ?,8.881784197001252e-16,1.629397827512772e-16,1.0,1.0,1.0
78,"Either way it was a pity , because Mr. Stolzman offered the most substantial music of the evening just after intermission : Steve Reich 's `` New York Counterpoint , '' one of a series of Reich works that juxtapose a live performer with recorded tracks of his or her own playing .",0.10584227310258054,0.015955923172151287,0.9795592415282066,0.9885701679486597,0.9840440768278487
79,-LRB- Mr. Reich 's new `` Different Trains '' for string quartet uses the technique magisterially . -RRB-,0.0,0.0,1.0,1.0,1.0
80,Mr. Stoltzman must have worried that his audience might not be able to take it : He warned us in advance that `` New York Counterpoint '' lasts 11 1/2 minutes .,0.17530126482615138,0.026755726397077986,0.9658292768016673,0.9807740061269431,0.9732442736029222
81,"He also unfortunately illustrated this intricate , jazzy tapestry with Mr. Pearson 's images , this time of geometric or repeating objects , in a kitschy mirroring of the musical structure that was thoroughly distracting from Mr. Reich 's piece and Mr. Stoltzman 's elegant execution of it .",8.881784197001252e-16,1.3094057888114066e-16,1.0,1.0,1.0
82,"The rest of the concert was more straight jazz and mellow sounds written by Charlie Parker , Ornette Coleman , Bill Douglas and Eddie Gomez , with pictures for the Douglas pieces .",0.14408750006556037,0.02494862596305998,1.0000000000000002,0.9513173141929574,0.9750513740369403
83,"It was enjoyable to hear accomplished jazz without having to sit in a smoke-filled club , but like the first half , much of it was easy to take and ultimately forgettable .",0.0,0.0,1.0,1.0,1.0
84,Is this the future of chamber music ?,0.0,0.0,1.0,1.0,1.0
85,"Managers and presenters insist that chamber music concerts are a hard sell , but can audiences really enjoy them only if the music is purged of threatening elements , served up in bite-sized morsels and accompanied by visuals ?",0.1025641025641022,0.01635289532145892,0.983647104678541,0.983647104678541,0.983647104678541
86,What 's next ?,0.0,0.0,1.0,1.0,1.0
87,Slides to illustrate Shostakovich quartets ?,0.0,0.0,1.0,1.0,1.0
88,"It was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of Mr. Douglas , and the obvious sincerity with which Mr. Stoltzman chooses his selections .",0.05555555555555536,0.008539615749035966,1.0,0.9830653836186819,0.991460384250964
89,But it was neither deep nor lasting : light entertainment that was no substitute for an evening of Brahms .,0.09999999999999876,0.015167881089888332,1.0,0.9701174921460198,0.9848321189101115
90,Ms. Waleson is a free-lance writer based in New York .,8.881784197001252e-16,1.7412936561289872e-16,1.0,1.0,1.0
91,One of Ronald Reagan 's attributes as President was that he rarely gave his blessing to the claptrap that passes for `` consensus '' in various international institutions .,0.0,0.0,1.0,1.0,1.0
92,"In fact , he liberated the U.S. from one of the world 's most corrupt organizations -- UNESCO .",0.10526315789473539,0.01627446289306341,1.0,0.9679723077036994,0.9837255371069363
93,"This is the U.N. group that managed to traduce its own charter of promoting education , science and culture .",0.0,0.0,1.0,1.0,1.0
94,"Ever since , the remaining members have been desperate for the United States to rejoin this dreadful group .",0.10526315789473628,0.016076951298180514,0.9683548548608644,0.9999999999999998,0.9839230487018192
95,Now UNESCO apologists are lobbying President Bush to renege on President Reagan 's decision to depart .,0.0,0.0,1.0,1.0,1.0
96,But we can think of many reasons to stay out for the foreseeable future and well beyond .,0.0,0.0,1.0,1.0,1.0
97,"The U.S. , along with Britain and Singapore , left the agency when its anti-Western ideology , financial corruption and top leadership got out of hand .",0.19426342584579714,0.030535635951734533,0.9765430418336946,0.9624875703066522,0.9694643640482655
98,"The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention , such as when several of his top aides were uncovered as KGB plants and ejected from France and when a mysterious office fire was set just before Congress sent accountants to trace U.S. funds .",0.11935405264759069,0.017717756548499795,0.9773136148524383,0.9873016508801018,0.9822822434515001
99,"Mr. M'Bow was an extreme case , but even his replacement , the more personally genial Spanish biochemist Federico Mayor , has had little success at achieving reforms .",0.0,0.0,1.0,1.0,1.0
100,"Several ridiculous projects continue , including the `` New International Economic Order , '' which means redistributionism from the West to pay for everyone else 's statism .",-8.881784197001252e-16,-1.4229286622646768e-16,1.0,1.0,1.0
101,"The Orwellian `` New World Information Order '' would give government officials rights against the press ; journalists would be obliged to kowtow to their government , which would have licensing and censorship powers and , indeed , duties to block printing of `` wrong '' ideas .",0.0,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000004
102,UNESCO somehow converted the founding U.N. ideals of individual rights and liberty into `` peoples ' rights . '',-1.7763568394002505e-15,-2.89229125587099e-16,1.0,1.0,1.0
103,Million-dollar conferences were held to chew on subjects such as `` ethical responsibilities of scientists in support of disarmament '' and `` the impact of the activities of transnational corporations . '',8.881784197001252e-16,1.611033579224602e-16,1.0,1.0,1.0
104,The agency was so totally subverted from the high principles of its founding that even the Soviets now wonder about an agency that seemed so congenial to them .,0.2068965517241379,0.031912467631988156,0.9706183046286941,0.9655699231640233,0.9680875323680117
105,"Glasnost may be partly responsible , but Soviet Foreign Minister Eduard Shevardnadze last year admitted , `` The exaggerated ideological approach undermined tolerance intrinsic to UNESCO . ''",-8.881784197001252e-16,-1.4397261096108756e-16,1.0,1.0,1.0
106,UNESCO is now holding its biennial meetings in Paris to devise its next projects .,-1.7763568394002505e-15,-2.7411019706597085e-16,1.0,1.0,1.0
107,Mr. Mayor 's hope that references to `` press freedom '' would survive unamended seems doomed to failure ; the current phrasing is `` educating the public and media to avoid manipulation . '',0.13984963241657322,0.023071356868044984,0.9733633919344511,0.98052010806522,0.9769286431319552
108,He has n't been able to replace the M'Bow cabal .,0.0,0.0,1.0,1.0,1.0
109,"Soviets remain in charge of education programs , a former head of an African military tribunal for executions is in charge of culture , and a hard-line Polish communist in exile directs the human-rights and peace division .",0.0,0.0,1.0,1.0,1.0
110,"Of the agency 's 2,750 staff members , 230 are in the field working on actual projects , such as literacy and oceanographic research .",0.0,0.0,1.0,1.0,1.0
111,"The position of the United States , which once contributed 25 % of the budget , is that nothing has changed .",-8.881784197001252e-16,-1.2881853455243134e-16,1.0,1.0,1.0
112,"John Bolton , the assistant secretary of state for international organizations , told Congress that the continuing `` statist , restrictive , nondemocratic '' programs make rejoining any time soon `` extremely unlikely . ''",0.0,0.0,1.0,1.0,1.0
113,"This has n't much bothered the UNESCO delegates , who last week could n't even agree to raise funds by selling off a fancy 19th-century French chateau the agency somehow owns .",0.297180468885216,0.04428473179588566,0.9456289260984782,0.9660190975707531,0.9557152682041143
114,"Other countries , including West Germany , may have a hard time justifying continued membership .",0.0,0.0,1.0,1.0,1.0
115,We see an even stronger argument against UNESCO than its unsurprising failure to reform .,0.0,0.0,1.0,1.0,1.0
116,This is that the Reagan Revolution spanning Eastern Europe and Tiananmen Square shows the power of ideas unencumbered by international civil servants or government functionaries .,8.881784197001252e-16,1.450866316224356e-16,1.0,1.0,1.0
117,"Free markets , free minds and free elections have an appeal that seems to get muddled only when delivered through U.N. organizations -- which of course are made up largely of governments that fear these principles at home .",0.0,0.0,1.0,1.0,1.0
118,The Babelists of the United Nations are experts at obfuscation .,0.0,0.0,1.0,1.0,1.0
119,"This can have its purposes at times , but there 's no reason to cloud the importance and allure of Western concepts of freedom and justice .",0.0,0.0,1.0,1.0,1.0
120,"We can see plenty of reasons to stay out , and none to rejoin UNESCO .",0.0,0.0,1.0,1.0,1.0
121,Researchers at Plant Genetic Systems N.V. in Belgium said they have developed a genetic engineering technique for creating hybrid plants for a number of key crops .,8.881784197001252e-16,1.4666669229153868e-16,1.0,1.0,1.0
122,The researchers said they have isolated a plant gene that prevents the production of pollen .,0.0,0.0,1.0,1.0,1.0
123,The gene thus can prevent a plant from fertilizing itself .,8.881784197001252e-16,1.5239969248111213e-16,1.0,1.0,1.0
124,"Such so-called male-sterile plants can then be fertilized by pollen from another strain of the plant , thereby producing hybrid seed .",0.0,0.0,1.0,1.0,1.0
125,"The new generation of plants will possess the flourishing , high-production trait known as `` hybrid vigor , '' similar to that now seen in hybrid corn .",8.881784197001252e-16,1.5328146174853288e-16,1.0,1.0,1.0
126,"`` The development could have a dramatic effect on farm production , especially cotton , '' said Murray Robinson , president of Delta & Pine Land Co. , a Southwide Inc. subsidiary that is one of the largest cotton seed producers in the U.S. .",0.0,0.0,1.0,1.0,1.0
127,"On a commercial scale , the sterilization of the pollen-producing male part has only been achieved in corn and sorghum feed grains .",0.0,0.0,1.0,1.0,1.0
128,"That 's because the male part , the tassel , and the female , the ear , are some distance apart on the corn plant .",0.16725059790756713,0.030508929698440625,0.9999999999999999,0.940788616538493,0.9694910703015591
129,"In a labor-intensive process , the seed companies cut off the tassels of each plant , making it male sterile .",-8.881784197001252e-16,-1.6545691155638127e-16,1.0,1.0,1.0
130,"They sow a row of male-fertile plants nearby , which then pollinate the male-sterile plants .",0.0,0.0,1.0,1.0,1.0
131,The first hybrid corn seeds produced using this mechanical approach were introduced in the 1930s and they yielded as much as 20 % more corn than naturally pollinated plants .,0.1748370832612176,0.0272203772710473,0.9665341526847531,0.9791063306275141,0.9727796227289525
132,The vast majority of the U.S. corn crop now is grown from hybrid seeds produced by seed companies .,-1.7763568394002505e-15,-3.099475130412753e-16,1.0,1.0,1.0
133,"A similar technique is almost impossible to apply to other crops , such as cotton , soybeans and rice .",0.29999999999999893,0.05078373357750447,0.9655612006785061,0.9334154918704078,0.9492162664224952
134,"The male part , the anthers of the plant , and the female , the pistils , of the same plant are within a fraction of an inch or even attached to each other .",0.0,0.0,1.0,1.0,1.0
135,The anthers in these plants are difficult to clip off .,0.0,0.0,1.0,1.0,1.0
136,"In China , a great number of workers are engaged in pulling out the male organs of rice plants using tweezers , and one-third of rice produced in that country is grown from hybrid seeds .",0.07652465283787446,0.012903493576704055,1.0,0.9745217710107011,0.9870965064232959
137,"At Plant Genetic Systems , researchers have isolated a pollen-inhibiting gene that can be inserted in a plant to confer male sterility .",0.0,0.0,1.0,1.0,1.0
138,"Jan Leemans , research director , said this gene was successfully introduced in oil-producing rapeseed plants , a major crop in Europe and Canada , using as a carrier a `` promoter gene '' developed by Robert Goldberg at the University of California in Los Angeles .",-8.881784197001252e-16,-1.508057815466301e-16,1.0,1.0,1.0
139,The sterilizing gene is expressed just before the pollen is about to develop and it deactivates the anthers of every flower in the plant .,0.0,0.0,1.0,1.0,1.0
140,Mr. Leemans said this genetic manipulation does n't hurt the growth of that plant .,0.1836591668108971,0.029640914346475415,0.9999999999999998,0.9424247542352393,0.9703590856535242
141,The researchers also pulled off a second genetic engineering trick in order to get male-sterile plants in large enough numbers to produce a commercial hybrid seed crop .,0.09838883936298082,0.018108240140236,0.9644276719777028,1.0,0.9818917598597638
142,"They attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",8.881784197001252e-16,1.6716671702512458e-16,1.0,1.0,1.0
143,"Both genes are then inserted into a few greenhouse plants , which are then pollinated and allowed to mature and produce seed .",0.0,0.0,1.0,1.0,1.0
144,The laws of heredity dictate that half of the plants springing from these greenhouse-produced seeds will be male sterile and herbicide resistant and half will be male fertile and herbicide susceptible .,0.4144101540262515,0.07246901703236899,0.9335377606867615,0.9216010113542088,0.9275309829676311
145,"The application of herbicide would kill off the male-fertile plants , leaving a large field of male-sterile plants that can be cross-pollinated to produce hybrid seed .",0.27358599807084616,0.046075930768407304,0.9592889886571829,0.9486188237682431,0.9539240692315928
146,Mr. Leemans said the hybrid rapeseeds created with this genetic engineering yield 15 % to 30 % more output than the commercial strains used currently .,0.27481719337410304,0.04356346940270397,0.9602714402106713,0.9526321290948679,0.9564365305972959
147,"`` This technique is applicable to a wide variety of crops , '' he said , and added that some modifications may be necessary to accommodate the peculiarities of each type of crop .",0.0,0.0,1.0,1.0,1.0
148,"He said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",8.881784197001252e-16,1.459628419394307e-16,1.0,1.0,1.0
149,"He said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs U.S. seed producers about $ 70 million annually .",0.1251286184779854,0.01848134747865644,0.9786471990788268,0.984407005840516,0.9815186525213434
150,"In recent years , demand for hybrid seeds has spurred research at a number of chemical and biotechnology companies , including Monsanto Co. , Shell Oil Co. and Eli Lilly & Co .",0.1978583337266917,0.03531447244909736,0.9780655560792645,0.9516666386880946,0.9646855275509029
151,One technique developed by some of these companies involves a chemical spray supposed to kill only a plant 's pollen .,-8.881784197001252e-16,-1.6439372008101625e-16,1.0,1.0,1.0
152,"But there have been problems with chemical sprays damaging plants ' female reproductive organs and concern for the toxicity of such chemical sprays to humans , animals and beneficial insects .",0.10468104831730685,0.018558727824665926,0.9635588458128441,1.0,0.9814412721753341
153,"However , Paul Johanson , Monsanto 's director of plant sciences , said the company 's chemical spray overcomes these problems and is `` gentle on the female organ . ''",-8.881784197001252e-16,-1.4675838590269066e-16,1.0,1.0,1.0
154,"Biosource Genetics Corp. , Vacaville , Calif. , is developing a spray containing a gene that spreads from cell to cell and interferes with the genes that are responsible for producing pollen .",0.0,0.0,1.0,1.0,1.0
155,"This gene , called `` gametocide , '' is carried into the plant by a virus that remains active for a few days .",0.0,0.0,1.0,1.0,1.0
156,"Robert Erwin , president of Biosource , called Plant Genetic 's approach `` interesting '' and `` novel , '' and `` complementary rather than competitive . ''",-8.881784197001252e-16,-1.6409326293739746e-16,1.0,1.0,1.0
157,"`` There is a large market out there hungry for hybrid seeds , '' he said .",0.16205220600961567,0.029087893936861994,0.9434685917340183,0.9999999999999999,0.9709121060631379
158,"Mr. Robinson of Delta & Pine , the seed producer in Scott , Miss. , said Plant Genetic 's success in creating genetically engineered male steriles does n't automatically mean it would be simple to create hybrids in all crops .",0.14979779146527505,0.022242987861485774,0.9854002447415645,0.9702314360247455,0.9777570121385141
159,"That 's because pollination , while easy in corn because the carrier is wind , is more complex and involves insects as carriers in crops such as cotton .",0.2758620689655169,0.04513817488372818,0.9684693290098206,0.9416314081389583,0.9548618251162717
160,"`` It 's one thing to say you can sterilize , and another to then successfully pollinate the plant , '' he said .",0.0,0.0,1.0,1.0,1.0
161,"Nevertheless , he said , he is negotiating with Plant Genetic to acquire the technology to try breeding hybrid cotton .",-8.881784197001252e-16,-1.3739951173082023e-16,1.0,1.0,1.0
162,"A bitter conflict with global implications has erupted between Nomura Securities Co. and Industrial Bank of Japan , two of the world 's most powerful financial companies .",0.0714285714285694,0.011099251830206772,1.0000000000000002,0.9780451784330448,0.9889007481697931
163,The clash is a sign of a new toughness and divisiveness in Japan 's once-cozy financial circles .,0.0,0.0,1.0,1.0,1.0
164,Not only are Japan 's financial institutions putting their enormous clout to work ; increasingly they 're squaring off against one another in unprecedented public fashion .,0.3885268516915943,0.05693949448019036,0.9430605055198095,0.9430605055198097,0.9430605055198096
