id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.059142770720327,0.5578264468593208,0.4556889640274008,0.42943676385768953,0.442173553140679
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.513706807373458,0.38181830534511285,0.6938285249071358,0.5574084867710298,0.6181816946548866
2,Ms. Haag plays Elianti .,0.5509775004326936,0.16732395949356627,1.0,0.7133204400839018,0.8326760405064336
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.6182263988300143,0.25483314283117137,0.7977044390483723,0.6991220089858327,0.7451668571688287
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.4674700395364009,0.3206435110179471,0.6343107587716086,0.7312891638161979,0.6793564889820528
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.6812030173159815,0.2586758680422935,0.8256269454532618,0.6726422261055646,0.7413241319577065
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.5169925001442297,0.2811256447647887,0.6952125832624522,0.7442035496679789,0.7188743552352109
7,The new rate will be payable Feb. 15 .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.9184649394575018,0.8824880799443541
8,A record date has n't been set .,0.75,0.14285714285714285,0.9,0.818181818181818,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.6626272062641423,0.290790805804336,0.7621768484497857,0.6631251596871899,0.7092091941956643
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,2.034830616131072,0.3183157694698088,0.6835328074713245,0.6798456253705648,0.6816842305301909
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.6803240698115331,0.2815470748831603,0.7787564902366072,0.6668174402922533,0.7184529251168397
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.8193208846986568,0.29311258087372,0.751111461313958,0.6675814672257997,0.7068874191262801
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.1476338237839379,0.1913582527223294,0.8458963727477539,0.7745302018057235,0.8086417472776707
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.8526796211301422,0.27835499001685365,0.7637828803406211,0.6839135285087605,0.7216450099831465
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.962826429486972,0.28334091834816627,0.7758689077571039,0.665845597987716,0.7166590816518337
16,`` Apparently the commission did not really believe in this ideal . '',1.039213461871304,0.17165807436268338,0.8726966000316152,0.7882778229819997,0.8283419256373169
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.694297380777014,0.2742384958907899,0.7601735795273876,0.6943300788631462,0.72576150410921
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.9727652780181639,0.15212960286143212,0.829914581032827,0.86662037015461,0.8478703971385679
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.7654839848061252,0.2652033541808307,0.7563708749146977,0.714419023935813,0.7347966458191691
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",2.1789903573282965,0.3279547199608607,0.7182335343349473,0.6314386427684439,0.6720452800391393
21,"The SEC will probably vote on the proposal early next year , he said .",0.8503258334775632,0.12697516267925477,0.9021695700371699,0.845704226584623,0.8730248373207448
22,Not all those who wrote oppose the changes .,0.8344194449252154,0.16487289753610745,0.8734806581894542,0.7999999999999998,0.8351271024638924
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",2.462433789549742,0.36152447457352055,0.6753152628067343,0.6054472230565521,0.6384755254264796
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,2.315023696906789,0.3556466559876167,0.6755330013846622,0.6159249350345013,0.6443533440123831
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",1.1530493056757471,0.19516953941446546,0.9295139892696301,0.7096404225620764,0.8048304605855344
26,The SEC 's Mr. Lane vehemently disputed those estimates .,1.2754887502163461,0.23759341449274432,0.7732802751711707,0.751834461944411,0.7624065855072556
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",1.1776942711037668,0.19547569298507142,0.8856517100762817,0.7370125384621008,0.8045243070149284
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",1.4081519737980752,0.21811104475986354,0.7998523419100829,0.7647147029665511,0.7818889552401361
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.6325521345860743,0.26646186637726305,0.8012246490781069,0.6763969179897023,0.7335381336227368
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",2.114005168058302,0.31281480312204385,0.741281214900013,0.6404476473780409,0.687185196877956
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",1.9219418869851008,0.2824853100428915,0.7357771829146209,0.7001368153020411,0.7175146899571084
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",1.3281491340397098,0.20874469548296867,0.8174787965666214,0.7666619408777902,0.7912553045170313
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",1.8394852610995551,0.288604609040655,0.7227339425112359,0.7004071120367501,0.7113953909593447
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",1.1949875002403854,0.17834521515832752,0.8919870114801933,0.7616031842324152,0.8216547848416723
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",2.0115070654995835,0.30077302621867186,0.707205432929006,0.6914265270611574,0.6992269737813283
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",2.0786439633618583,0.34255746112238666,0.6591219937739835,0.6557716207928815,0.6574425388776132
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",2.2101726354408333,0.33614829357388637,0.6856451069494265,0.6434010439679542,0.6638517064261135
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",1.302888815903339,0.19856910795803728,0.8063133307845349,0.7966072263082505,0.8014308920419625
39,"For its employees to sign up for the options , a college also must approve the plan .",0.874185416306088,0.14129846088309742,0.849206791605011,0.8684110036402951,0.8587015391169025
40,"Some 4,300 institutions are part of the pension fund .",1.1999999999999993,0.2379132066518327,0.8277293767706427,0.7060906930265161,0.7620867933481673
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",1.8676470383299195,0.29624265132423167,0.7403002409453092,0.6706524297069555,0.7037573486757683
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",1.819237610324583,0.3136116720795025,0.6739925231007124,0.6992486331614136,0.6863883279204975
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",1.8366532707530308,0.2921670978020056,0.8198545212550403,0.6227437103022643,0.707832902197994
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",1.0961690480311361,0.1693261310704434,0.8826120829006955,0.7845086520449117,0.8306738689295563
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",1.7305276330650372,0.2624624766419072,0.7748955228007758,0.703615938985682,0.7375375233580929
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",1.8036497154506108,0.2754579628438035,0.7703465787410625,0.6838788376035804,0.7245420371561966
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",1.9094024864277648,0.28436287738871047,0.7532847741068254,0.6815734578565926,0.7156371226112894
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",0.6317097831730782,0.11147656278689702,1.0,0.7994081629442861,0.8885234372131028
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",2.1128944962287948,0.3309622053495535,0.7174750016500601,0.6267270418199336,0.6690377946504465
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",1.5198165219473152,0.25622867198326554,0.8727351625141567,0.6480144162733461,0.7437713280167343
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",1.6473943969247369,0.2695170826735195,0.744105357302861,0.7173502861483956,0.7304829173264806
52,"Solo woodwind players have to be creative if they want to work a lot , because their repertoire and audience appeal are limited .",1.5780959575386353,0.2480403467573142,0.8182152868546024,0.695630426217435,0.7519596532426859
53,"The oboist Heinz Holliger has taken a hard line about the problem : He commissions and splendidly interprets fearsome contemporary scores and does some conducting , so he does n't have to play the same Mozart and Strauss concertos over and over again .",2.8550661123359484,0.400970290988957,0.606062399391783,0.5921583597821616,0.5990297090110429
54,"Richard Stoltzman has taken a gentler , more audience-friendly approach .",0.9090909090909083,0.1512687768266356,0.8752096003146702,0.823807939309481,0.8487312231733645
55,"Years ago , he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi , which won audiences over to dreaded contemporary scores like Messiaen 's `` Quartet for the End of Time . ''",2.5654116232442084,0.3900231409491002,0.6409498496611605,0.5818593336513644,0.6099768590508999
56,"Today , the pixie-like clarinetist has mostly dropped the missionary work -LRB- though a touch of the old Tashi still survives -RRB- and now goes on the road with piano , bass , a slide show , and a repertoire that ranges from light classical to light jazz to light pop , with a few notable exceptions .",2.123448882226789,0.31859034366674943,0.728795527478005,0.6398095996595247,0.6814096563332508
57,"Just the thing for the Vivaldi-at-brunch set , the yuppie audience that has embraced New Age as its very own easy listening .",1.813456780197682,0.2909529899443061,0.6969404149906093,0.7215816495304012,0.7090470100556937
58,But you ca n't dismiss Mr. Stoltzman 's music or his motives as merely commercial and lightweight .,1.7505430557959407,0.27493635336109895,0.7126276799833536,0.7379413587870444,0.7250636466389009
59,"He believes in what he plays , and he plays superbly .",1.4674700395364013,0.3206435110179472,0.660012198191641,0.69986894063041,0.6793564889820527
60,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",1.5178239514727236,0.24037386834371374,0.8411705731791689,0.6924945821690358,0.7596261316562862
61,"It felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",0.7486643890814628,0.12675680766918437,0.8701032438657713,0.8764058851874982,0.8732431923308158
62,"Clad in his trademark black velvet suit , the soft-spoken clarinetist announced that his new album , `` Inner Voices , '' had just been released , that his family was in the front row , and that it was his mother 's birthday , so he was going to play her favorite tune from the record .",2.0437070827505446,0.30255189236682967,0.7221333791781475,0.6743947252507342,0.6974481076331704
63,"He launched into Saint-Saens 's `` The Swan '' from `` Carnival of the Animals , '' a favorite encore piece for cellists , with lovely , glossy tone and no bite .",1.7895298155300932,0.28077508525915823,0.8037800248568169,0.6507663573002115,0.7192249147408416
64,"Then , as if to show that he could play fast as well , he offered the second movement from Saint-Saens 's Sonata for Clarinet , a whimsical , puckish tidbit that reflected the flip side of the Stoltzman personality .",1.7803345965778288,0.25057403378047166,0.7672164015523316,0.7324418922442557,0.7494259662195285
65,"And so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",1.8313193526828053,0.2666809200423479,0.777287498459307,0.6940586258934177,0.7333190799576522
66,"Mr. Stoltzman introduced his colleagues : Bill Douglas , pianist/bassoonist/composer and an old buddy from Yale , and jazz bassist Eddie Gomez .",2.4567929315946353,0.42147496715314997,0.6177175191000607,0.5440091414580519,0.5785250328468502
67,"An improvisational section was built around pieces by Mr. Douglas , beginning with `` Golden Rain , '' a lilting , laid-back lead in to the uptempo `` Sky , '' which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers .",1.66883868792448,0.2558847661741317,0.77662110679049,0.7142211431985797,0.7441152338258682
68,Bach 's `` Air '' followed .,0.9649839288804953,0.207535658331763,0.8657411483701791,0.7306239305568806,0.7924643416682371
