id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,5.078528779730943,0.5364141843406068,0.5042277802535996,0.4290068387854476,0.4635858156593936
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.2155099026874856,0.2997795666938707,0.6920927404084493,0.7085412921911045,0.7002204333061292
2,Ms. Haag plays Elianti .,0.5509775004326936,0.16732395949356627,1.0,0.7133204400839018,0.8326760405064336
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.7754887502163452,0.10669366355857535,0.9317646845777582,0.8578968636492229,0.8933063364414247
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.6666666666666661,0.11422191316026434,0.9394298226512527,0.8379234756068779,0.8857780868397357
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.3933231709160943,0.19969840809549447,0.8594092533951411,0.748801227765223,0.8003015919045058
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.7169925001442312,0.10497506451307828,0.9582013815667277,0.8396639387564937,0.8950249354869216
7,The new rate will be payable Feb. 15 .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.918464939457502,0.8824880799443541
8,A record date has n't been set .,0.5943609377704338,0.12115871759637824,0.8622556248918266,0.8960775105770449,0.8788412824036218
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.7658558828619935,0.12287905204312759,0.8608710742719037,0.8939960922237162,0.8771209479568725
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.400782000346152,0.19491745977675,0.7811275498051045,0.8305532790895372,0.8050825402232497
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.253470544745463,0.3304272010745716,0.6969959049245986,0.6442259132664252,0.6695727989254285
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.393117228215793,0.3107353175898177,0.7483726051909438,0.6388102104915296,0.6892646824101822
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.9855816177743222,0.1466910902546681,0.8782615110752144,0.829735012101711,0.853308909745332
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.8883845614882393,0.25005203163031675,0.7997288454672826,0.7060013640503263,0.7499479683696834
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.8732360088084157,0.2465823996896865,0.7793431257897425,0.7291614130581338,0.7534176003103135
16,`` Apparently the commission did not really believe in this ideal . '',0.7315211541789957,0.12083322367265943,0.8791667763273405,0.8791667763273405,0.8791667763273405
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.6666666666666679,0.22431215277381367,0.8438290468522911,0.7177294865784688,0.7756878472261866
