id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.787266794502508,0.4153122770732638,0.6141470846774966,0.5579252079822152,0.5846877229267369
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.401309834580382,0.17240420045718344,0.8996269371347545,0.7662443133997648,0.8275957995428161
2,Ms. Haag plays Elianti .,1.1019550008653876,0.4018944976291136,0.5981055023708863,0.5981055023708863,0.5981055023708863
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.9377443751081724,0.1249307761810674,0.9425977456743656,0.8165694767029804,0.8750692238189324
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.0629072918469564,0.18409515009462638,0.855997810360308,0.779399573935971,0.8159048499053737
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.0484955847091975,0.15103695988693977,0.9070709161155288,0.797851847587461,0.8489630401130603
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.4503258334775646,0.06861109109953051,0.9582013815667277,0.9060361287804418,0.9313889089004695
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.818181818181818,0.857142857142857
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.39734632365667455,0.05888712427849481,1.0,0.8887754456007401,0.9411128757215053
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.1345811190640092,0.16042492774765268,0.8016503243701276,0.8812663209464006,0.8395750722523472
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.260898196195054,0.18029139832435187,0.8750257606719615,0.7709696366220897,0.8197086016756482
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.3208314973858606,0.17700420581754192,0.8658047140271341,0.7842207200780416,0.8229957941824579
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.220875735421382,0.1817115797054572,0.842216946636267,0.795682014522053,0.8182884202945431
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.8351521331144163,0.24397566194914375,0.8029951435054313,0.7142449324817739,0.7560243380508567
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.5146637025930518,0.18654775475700353,0.8993335160179089,0.7425435322672289,0.8134522452429965
16,`` Apparently the commission did not really believe in this ideal . '',0.519606730935652,0.07904470615755656,1.0,0.8534913230073067,0.9209552938424435
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.1266756353260075,0.15839380282378826,0.8764783216968083,0.8094027827519941,0.8416061971762117
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.4863826390090811,0.06564733896739355,0.9396715985979784,0.9290935994040644,0.9343526610326063
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.3739208581747393,0.16481708842395634,0.8671634341570188,0.8054773391115393,0.8351829115760441
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.1317040135553338,0.1440817672135213,0.9015001881362793,0.8147238897843526,0.8559182327864783
21,"The SEC will probably vote on the proposal early next year , he said .",0.3999999999999986,0.055966642010002336,0.9619796142199876,0.9267444333447414,0.9440333579899974
22,Not all those who wrote oppose the changes .,0.44444444444444464,0.07538827312875093,0.9246117268712492,0.9246117268712492,0.9246117268712492
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.5661931643694533,0.18819283955624988,0.8255458487898171,0.7985182636740051,0.8118071604437502
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,1.6891475159783669,0.20909004810932338,0.8087465842532743,0.7738431039796458,0.7909099518906767
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.459147917027245,0.06566936273788354,1.0000000000000002,0.876754713921459,0.9343306372621166
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.6754887502163465,0.12130822140392354,0.9244267583903902,0.8372688393501769,0.8786917785960764
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",0.8537593748197096,0.12047531659849833,0.9116870797423662,0.8495542038113447,0.8795246834015016
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",0.8163039475961495,0.1092919053616124,0.9034405474017482,0.8783295386900204,0.890708094638387
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.050882521761988,0.148595921795279,0.9074521827397577,0.8018767605619342,0.8514040782047209
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",0.9753990139262152,0.12509200724512068,0.8875924649017093,0.8625809569190824,0.8749079927548788
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",1.4418643010176835,0.185239946255267,0.8331017769411856,0.7972085622189915,0.8147600537447326
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",1.068626136560316,0.14273849696136062,0.8896710806245496,0.8271302092665023,0.8572615030386392
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",0.9290369049679459,0.12429176708855748,0.8729818254902021,0.8784517233574405,0.8757082329114421
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",0.22222222222222054,0.028145764087402103,0.9718542359125979,0.9718542359125979,0.9718542359125979
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",0.5545603261810204,0.07112564153622328,0.9249806409295964,0.932800995879568,0.9288743584637765
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",0.9849744454075875,0.13092115782031438,0.886819069534177,0.8520344579118143,0.8690788421796855
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",1.0969615436430233,0.14353526459694627,0.8454989570615788,0.8677186947245081,0.8564647354030539
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",0.671309868534915,0.09067475466575438,0.8888205370726577,0.9307983640449855,0.909325245334245
39,"For its employees to sign up for the options , a college also must approve the plan .",0.5974937501201927,0.08187187867069314,0.967899209951629,0.8732253309488065,0.9181281213293068
40,"Some 4,300 institutions are part of the pension fund .",1.075488750216346,0.1931425614222114,0.8488535167807805,0.7688208852920502,0.8068574385777884
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",1.3602953020385185,0.17727283328053958,0.8602254847076442,0.7883614911937363,0.8227271667194603
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",1.2039347195065409,0.1717742407790296,0.7827413452696752,0.879322414507978,0.8282257592209704
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",1.0120301139313819,0.14605472077305395,0.8281149262317375,0.8814389002397994,0.853945279226946
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",0.738560714491757,0.09880879415606776,0.9725006118481283,0.8396250122973702,0.901191205843932
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",0.9990064788860424,0.14355213449939122,0.8696893297488226,0.8436035702641198,0.8564478655006087
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",1.2119262165620537,0.16571177723526676,0.8806465150611051,0.7925665650307258,0.8342882227647331
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",1.1002914568887379,0.1518883557462991,0.8477679041972093,0.8484556631722585,0.8481116442537011
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",0.9280425203454952,0.1444968584925821,0.9511515745464099,0.7773339264212744,0.8555031415074177
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",1.111243468577488,0.14861662815867416,0.9071204885272135,0.8020991847675353,0.8513833718413258
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",0.9697394274571547,0.13890932640789025,0.9404045787730607,0.7941148708463728,0.8610906735921098
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",1.2284707898427705,0.18118349862455263,0.8302032466823819,0.8077378822817982,0.8188165013754477
