id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.892634398480826,0.8410193348847367,0.14284791122554388,0.17922130559942592,0.15898066511526354
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",3.672985726862003,0.681144886753566,0.29312392018245276,0.34953852998254603,0.3188551132464339
2,Ms. Haag plays Elianti .,0.9509775004326939,0.3287305146725625,0.7082316448032829,0.6379740263133313,0.6712694853274375
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",2.5546791964900404,0.4654029556006974,0.4946965649282392,0.581498675872016,0.5345970443993022
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",2.0712294143561123,0.4809861405856176,0.455965684580405,0.6022956570892517,0.5190138594143825
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.9182479476927825,0.5491331361542358,0.4105861835341956,0.4999107582723952,0.45086686384576447
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,2.767318333621796,0.5789615755738294,0.3606722877402925,0.5056735975309387,0.4210384244261706
7,The new rate will be payable Feb. 15 .,1.512182274937424,0.31323246755021134,0.5623846264932783,0.8817944864489706,0.6867675324497886
8,A record date has n't been set .,1.9387218755408666,0.47736742378338326,0.424511249783653,0.6797495640482293,0.5226325762166165
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.8979213239112012,0.36794204145006343,0.6128058174828405,0.6525590007708616,0.6320579585499367
