id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.532723629306034,0.9997637898529401,0.00015151289847443173,0.0005356362482406671,0.00023621014706014611
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",3.6495811511820486,0.9280413285887269,0.04824329680361943,0.14153353532159843,0.07195867141127292
2,Ms. Haag plays Elianti .,1.501955000865387,0.6413400394424296,0.3063371471741693,0.43253806776631243,0.3586599605575701
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",3.4024101186092026,0.8579038661452115,0.09500258118340417,0.28177360116998607,0.1420961338547884
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",2.259951289896979,0.6549015871757686,0.24295372345207294,0.5954372523105547,0.3450984128242313
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",3.2390399790309363,0.8269265088366661,0.11616931358185614,0.3392522151224244,0.1730734911633343
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,3.1264397968159843,0.8256392844007132,0.118328682273978,0.3311875368161715,0.1743607155992869
7,The new rate will be payable Feb. 15 .,1.9566267193818678,0.4967597317166608,0.33621980710702565,0.9999999999999997,0.5032402682833391
8,A record date has n't been set .,2.0,0.5714285714285714,0.29999999999999993,0.7499999999999999,0.4285714285714285
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",3.3408227952630125,0.9133839932937573,0.05954775390669385,0.15880135088002426,0.08661600670624263
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,3.6008745318691124,0.8601266570512383,0.09185156147403759,0.29312455957202077,0.1398733429487617
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",3.2840395057035257,0.8751946898053066,0.08505465668306005,0.2343120269232091,0.12480531019469347
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",3.5789239515536133,0.912944615497217,0.05842288077863693,0.17072715597528024,0.08705538450278293
