id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.671204068689529,0.4892610957764377,0.5616740849906023,0.4682736986422944,0.5107389042235615
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.0393479752232127,0.2527942743997019,0.8061616599147006,0.6962852357481737,0.7472057256002976
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.0377443751081739,0.13643559290137364,0.9425977456743656,0.7967591001533308,0.8635644070986264
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.666666666666667,0.10805101626208158,1.0000000000000002,0.8049710443358778,0.8919489837379186
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.376418860720471,0.18798490851391017,0.9150836980038801,0.7298139673721431,0.8120150914860902
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.5836591668108975,0.08715508189603591,0.9582013815667277,0.8715882856335804,0.912844918103964
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.5,0.09090909090909091,0.9999999999999999,0.8333333333333333,0.9090909090909091
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.9123397061368799,0.12982806527456264,0.9629472452509071,0.7937025337327379,0.8701719347254374
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,0.9403910001730775,0.11953128070225355,0.9351958266885144,0.8317927017044819,0.8804687192977467
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.6474099386848575,0.21961390002160133,0.8935270664728369,0.6926773075077318,0.7803860999783987
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.7835184022173136,0.2421748501511951,0.78682122780476,0.7308902503721264,0.7578251498488048
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.5882352941176485,0.08266257024743677,1.0000000000000002,0.8472976299004326,0.9173374297525636
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.147244841267459,0.28155272606760245,0.7736923573168369,0.6705658807091165,0.7184472739323978
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.7845342248868512,0.21938308890250066,0.8646139033152269,0.7114953430075137,0.7806169110974992
16,`` Apparently the commission did not really believe in this ideal . '',0.8272990386279604,0.12585212145928587,0.9491751493099762,0.8101127539502294,0.8741478785407142
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.5924812503605779,0.214582520993862,0.8533989099561778,0.7274676815712429,0.7854174790061381
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.5974937501201936,0.07717208180737699,0.9698357992989892,0.8801663115996204,0.9228279181926231
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.4870950425340617,0.17849858942694505,0.8524563077743454,0.7927158443817087,0.8215014105730556
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.6506982145947777,0.20252164344395837,0.8716153262283154,0.7349644943211198,0.7974783565560414
21,"The SEC will probably vote on the proposal early next year , he said .",0.5333333333333323,0.07604077156002466,0.923959228439975,0.923959228439975,0.923959228439975
