id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,0.5535692454803476,0.07825415163957834,0.9224970294144421,0.9209958896710262,0.9217458483604221
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",0.361294958882187,0.06282256312318263,0.9188533629296157,0.9562472315687643,0.9371774368768173
2,Ms. Haag plays Elianti .,0.0,0.0,1.0,1.0,1.0
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",-8.881784197001252e-16,-1.497287930319725e-16,1.0,1.0,1.0
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.0,0.0,1.0,1.0,1.0
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",0.2849883622927729,0.049643967913668215,0.934885555906212,0.9663471341263429,0.9503560320863318
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.21634083318910236,0.03732500323731306,1.0,0.9280360482571458,0.9626749967626869
7,The new rate will be payable Feb. 15 .,0.0,0.0,1.0,1.0,1.0
8,A record date has n't been set .,0.0,0.0,1.0,1.0,1.0
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.0,0.0,1.0,1.0,1.0
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,0.2954728779165121,0.04608794462905413,0.9592783139332165,0.9486055011428477,0.9539120553709457
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",8.881784197001252e-16,1.6131009603948898e-16,1.0,1.0,1.0
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",0.4327346962502814,0.07467450689819946,0.91795876476082,0.9328114157345808,0.9253254931018005
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.8967713234021488,0.1552157517368273,0.8513273546645681,0.8383409523653977,0.8447842482631728
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,0.3001327490951393,0.04799305139495631,0.9467169109289878,0.9573564375234835,0.9520069486050439
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",0.35893622510180734,0.057631750528663865,0.9172321414531366,0.9689208505634253,0.942368249471336
16,`` Apparently the commission did not really believe in this ideal . '',0.0,0.0,1.0,1.0,1.0
