id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,5.036718770505816,0.5285999043977768,0.5173775472041704,0.4329274182910503,0.4714000956022238
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.9269035873798082,0.2574356024635944,0.7433328844205688,0.7417974979953489,0.7425643975364056
2,Ms. Haag plays Elianti .,0.5509775004326936,0.16732395949356627,1.0,0.7133204400839018,0.8326760405064336
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.8754887502163449,0.11881719490753534,0.9317646845777582,0.8358099355958301,0.8811828050924644
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.0,0.17133286974039666,0.8788596453025052,0.783897967475837,0.8286671302596034
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.4622886881574741,0.20753156300011755,0.8594092533951411,0.7352023063326183,0.7924684369998827
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.7169925001442312,0.10497506451307828,0.9582013815667277,0.8396639387564937,0.8950249354869216
7,The new rate will be payable Feb. 15 .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.918464939457502,0.8824880799443541
8,A record date has n't been set .,0.5943609377704338,0.12115871759637824,0.8622556248918266,0.8960775105770449,0.8788412824036218
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.8390977944994358,0.13121869195473634,0.8748564050123128,0.8627900014820681,0.8687813080452637
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.0807820003461517,0.15038976944867133,0.8243303320127618,0.8764897109018754,0.8496102305513283
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.9534664680821265,0.28095662693188495,0.7630941050659826,0.6798008660639349,0.7190433730681152
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.1697479712836207,0.2814704152572503,0.7808717130215109,0.6654058558022451,0.71852958474275
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.9855816177743222,0.1466910902546681,0.8782615110752144,0.829735012101711,0.853308909745332
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.7800402999213372,0.23345721476065784,0.8252974619056712,0.7155978561649171,0.7665427852393424
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.8732360088084157,0.2465823996896865,0.7793431257897425,0.7291614130581338,0.7534176003103135
16,`` Apparently the commission did not really believe in this ideal . '',0.7315211541789957,0.12083322367265943,0.8791667763273405,0.8791667763273405,0.8791667763273405
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.5245112497836537,0.21814201175517317,0.8000013770134203,0.764519304388557,0.7818579882448268
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.4863826390090811,0.06373568532797855,0.9698357992989892,0.9049392649635825,0.9362643146720213
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.9662059124755293,0.24411539151793332,0.7583142464381408,0.7534704899162074,0.7558846084820667
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",2.0623088419252573,0.26647866315218866,0.7612262016437104,0.7077622935970642,0.7335213368478112
21,"The SEC will probably vote on the proposal early next year , he said .",1.1169925001442298,0.16679524346247382,0.7955475140735554,0.8746041447001833,0.8332047565375258
22,Not all those who wrote oppose the changes .,0.7505430557959416,0.13428195354110564,0.8207686211452081,0.9158760328571389,0.8657180464588944
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.9050402999213354,0.23238387138163094,0.7689327655897807,0.7663039928719075,0.7676161286183688
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,2.3188812643388204,0.28775110019701683,0.7265148718762886,0.6985323964716377,0.7122488998029834
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",1.7652465283787429,0.2778873714080279,0.7021842582368121,0.7432051954079226,0.7221126285919724
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.8754887502163466,0.15177409542471404,0.9244267583903902,0.7836309070274349,0.848225904575286
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",1.281453645923479,0.17744230163155425,0.868905345135496,0.78090406381408,0.8225576983684458
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",0.5660467106401779,0.07841320676398773,0.9034405474017482,0.9404769413800371,0.9215867932360118
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.345892748838037,0.19859503092042016,0.8185304713589201,0.7849813892122645,0.8014049690795796
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",1.78655214322802,0.23072639728259633,0.7749928813243774,0.7636381197766503,0.7692736027174033
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",1.4034741371854373,0.17321200737952033,0.8800334289660772,0.7796180747442433,0.8267879926204793
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",0.6140806820148592,0.08303221813377933,0.9400790016164237,0.8949656441363566,0.9169677818662204
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",1.2147511906822324,0.16897521264233187,0.7967709207843233,0.8683561650994374,0.8310247873576678
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",0.6666666666666652,0.08947391570926494,0.8592711795629885,0.9682834948230483,0.9105260842907349
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",1.0221641306229126,0.13623005082211037,0.8277494066661939,0.903068077089286,0.86376994917789
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",1.766182101685299,0.2404279081891923,0.7567986024819272,0.7623659842878683,0.759572091810808
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",1.1816278321118476,0.15447552303436565,0.8354453072058509,0.8558498154460316,0.8455244769656343
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",1.302888815903338,0.18659506353932925,0.7498462084134795,0.8887363167171676,0.8134049364606704
39,"For its employees to sign up for the options , a college also must approve the plan .",1.1530493056757471,0.17101577882405514,0.8073952597097749,0.8517594374691106,0.8289842211759447
40,"Some 4,300 institutions are part of the pension fund .",1.075488750216346,0.1931425614222114,0.8488535167807805,0.7688208852920502,0.8068574385777884
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",1.5933608444152743,0.21864776077097242,0.7758565339695614,0.7869263565135428,0.7813522392290275
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",0.9727652780181648,0.1247731805840572,0.9200937300960871,0.834532181860557,0.8752268194159429
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",1.3413534092875876,0.19074841641525392,0.7964317555687366,0.822490874308204,0.809251583584746
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",1.7675912132744624,0.25892825762615096,0.7303734425374029,0.7520881124411518,0.7410717423738489
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",1.4723336514420717,0.21488831393777622,0.7849273137767027,0.7852961449828391,0.7851116860622233
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",0.9438915628063782,0.13623377995821925,0.8637662200417808,0.863766220041781,0.8637662200417809
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",1.6079716018546213,0.23140503862628128,0.7369597701002548,0.8030679534468464,0.7685949613737187
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",0.6130376291352135,0.10331523825149874,0.9210457304586277,0.8735792459498419,0.8966847617485014
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",2.031380679989619,0.2806304161709752,0.7420046777894828,0.6980745914367247,0.719369583829025
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",1.7801941897740061,0.2612567469110974,0.7874728573163938,0.6956930732529245,0.7387432530889025
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",1.9610608759750638,0.2933409393272043,0.7064476375610172,0.7068706103703579,0.7066590606727959
52,"Solo woodwind players have to be creative if they want to work a lot , because their repertoire and audience appeal are limited .",1.3595496034621126,0.20463714747972023,0.7647147946485723,0.8285700876554386,0.7953628525202799
53,"The oboist Heinz Holliger has taken a hard line about the problem : He commissions and splendidly interprets fearsome contemporary scores and does some conducting , so he does n't have to play the same Mozart and Strauss concertos over and over again .",1.9556409630041829,0.25968017645462943,0.7416405383735334,0.7390038042182178,0.7403198235453706
54,"Richard Stoltzman has taken a gentler , more audience-friendly approach .",0.7958988638330418,0.12998587208595638,0.812643957607515,0.936099909688466,0.8700141279140435
55,"Years ago , he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi , which won audiences over to dreaded contemporary scores like Messiaen 's `` Quartet for the End of Time . ''",1.9333820444131922,0.2542414351534711,0.743719333377335,0.7478090099507505,0.7457585648465289
56,"Today , the pixie-like clarinetist has mostly dropped the missionary work -LRB- though a touch of the old Tashi still survives -RRB- and now goes on the road with piano , bass , a slide show , and a repertoire that ranges from light classical to light jazz to light pop , with a few notable exceptions .",2.1355472396605055,0.3091562175244212,0.6907835501105263,0.6909040253453819,0.6908437824755792
57,"Just the thing for the Vivaldi-at-brunch set , the yuppie audience that has embraced New Age as its very own easy listening .",1.4186604557865525,0.21195371701327853,0.7885578277414337,0.787535401489374,0.7880462829867217
58,But you ca n't dismiss Mr. Stoltzman 's music or his motives as merely commercial and lightweight .,1.5702590281383557,0.23983054681821797,0.7277791430586822,0.7955771605945152,0.760169453181782
59,"He believes in what he plays , and he plays superbly .",0.16666666666666696,0.030759979109880188,0.9403159227496528,0.9999999999999999,0.9692400208901197
60,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",1.6364060941238225,0.24881493269308164,0.7256770568108598,0.7785516535366279,0.7511850673069184
61,"It felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",1.78961997646653,0.2910716352592493,0.6549636726297687,0.7725842147040115,0.7089283647407506
62,"Clad in his trademark black velvet suit , the soft-spoken clarinetist announced that his new album , `` Inner Voices , '' had just been released , that his family was in the front row , and that it was his mother 's birthday , so he was going to play her favorite tune from the record .",2.0251398604551936,0.264259784334312,0.7521711347025332,0.7200118060720119,0.7357402156656881
63,"He launched into Saint-Saens 's `` The Swan '' from `` Carnival of the Animals , '' a favorite encore piece for cellists , with lovely , glossy tone and no bite .",1.946016510345176,0.29526828525042403,0.6615986629134135,0.7538811404224683,0.7047317147495762
64,"Then , as if to show that he could play fast as well , he offered the second movement from Saint-Saens 's Sonata for Clarinet , a whimsical , puckish tidbit that reflected the flip side of the Stoltzman personality .",2.2596390954657126,0.31930685370039846,0.6683866068007358,0.6934613700409414,0.6806931462996018
65,"And so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",1.8832432389549618,0.25518242246555656,0.6957298626141795,0.8013579577803018,0.7448175775344436
66,"Mr. Stoltzman introduced his colleagues : Bill Douglas , pianist/bassoonist/composer and an old buddy from Yale , and jazz bassist Eddie Gomez .",1.4789570622175443,0.23287818182366168,0.773940759916926,0.7604219859808845,0.7671218181763386
67,"An improvisational section was built around pieces by Mr. Douglas , beginning with `` Golden Rain , '' a lilting , laid-back lead in to the uptempo `` Sky , '' which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers .",2.1939904349482733,0.29084413650377805,0.6977513943538856,0.720939330231877,0.7091558634962218
68,Bach 's `` Air '' followed .,0.2857142857142865,0.053615035438314584,0.8982265179691366,1.0,0.9463849645616855
69,"Mr. Stoltzman tied the composer in by proclaiming him `` the great improviser of the 18th century , '' and then built on the image by joining with Mr. Douglas in some Bach two-part inventions , cleverly arranged for clarinet and bassoon by Mr. Douglas .",2.2694902791001583,0.31373719538933187,0.6773779931551077,0.6953837886309215,0.6862628046106681
70,"Keeping the mood light , the two then chanted and chortled their way through some murderous polyrhythms , devised by Mr. Douglas as an alternative to Hindemith 's dry theory-teaching techniques , and then , with Mr. Gomez , soared and improvised on the composer 's tight `` Bebop Etudes . ''",2.291373852707129,0.30856624373155517,0.6506095189601551,0.7377242401456537,0.6914337562684447
