id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,8.163827802954273,0.8621735706385989,0.1499307109833032,0.1275305674052352,0.13782642936140124
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.8793736784626054,0.35886684773504013,0.6879720119512095,0.6002655672600966,0.6411331522649597
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.6754887502163474,0.24754695503435462,0.7308567944380374,0.7753644625101012,0.7524530449656455
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.8333333333333339,0.13151128824149474,1.0000000000000002,0.7675475452907251,0.8684887117585054
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.308127481708535,0.32363101529933935,0.7424418238456162,0.6210952572416393,0.6763689847006608
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.3006516669551296,0.1996968833661456,0.817028898935423,0.7842483993347263,0.8003031166338546
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.8181818181818181,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.2652808826074677,0.18311807904033248,0.8888417357527216,0.7557010541025512,0.8168819209596676
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.4309775004326886,0.18592007168069455,0.8459317231165905,0.7845397213135505,0.814079928319305
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.526790241977399,0.3395864743652908,0.7500515213439226,0.5899134853520764,0.6604135256347091
