id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.8782618782881997,0.9826860015316479,0.009677434882194465,0.08209978407424556,0.017313998468352722
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.9475276613438286,0.9154658326470734,0.04640087423769241,0.47443855827142384,0.08453416735292646
2,Ms. Haag plays Elianti .,1.9019550008653874,0.6936628528258305,0.3063371471741693,0.3063371471741693,0.3063371471741693
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",3.0824370245872283,0.8719881421644591,0.07628496316434051,0.39764445898140627,0.12801185783554087
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",2.5690767852758696,0.7862479215544822,0.14249035960031892,0.42760342188374617,0.21375207844551777
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.9005965535145948,0.8661504169637434,0.0768108383746985,0.5199802731202842,0.13384958303625644
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,2.724040255866511,0.7805852372227441,0.1372273562121968,0.5470518778247994,0.2194147627772558
7,The new rate will be payable Feb. 15 .,2.4057204949336923,0.6115000764646148,0.2592542612830237,0.7747199911055348,0.38849992353538537
8,A record date has n't been set .,1.9387218755408673,0.5443893478090284,0.3245112497836531,0.7644349824628587,0.4556106521909716
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.6601297526332566,1.0,0.0,1.0,0.0
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,2.90350678796056,0.653496621608518,0.2414865682149587,0.6131461865645119,0.34650337839148204
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.5592369478031842,0.8141444964374395,0.10610742238506855,0.7481464830173324,0.1858555035625606
