id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,5.065373082734247,0.6842520240841171,0.33103692852518524,0.30180891994799686,0.31574797591588294
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",3.4896478310576806,0.5709269480798609,0.4471059324297681,0.4124383982212097,0.4290730519201388
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.4559707739381853,0.23065261121310363,0.8186944999815159,0.7256109242523014,0.7693473887868959
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.404562747689445,0.28244447167171544,0.7279828422902023,0.7074227088977316,0.7175555283282843
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.2849883622927725,0.3691660947453329,0.6690963908336971,0.5967108115784012,0.6308339052546672
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.167318333621795,0.19095265837062983,0.8863784664179719,0.7441268079890477,0.80904734162937
7,The new rate will be payable Feb. 15 .,0.9727652780181639,0.1812464918824935,0.7453803480164573,0.9081491772631822,0.8187535081175066
8,A record date has n't been set .,0.5943609377704338,0.12115871759637824,0.8622556248918267,0.8960775105770448,0.8788412824036219
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.0599735299208173,0.36496114710325317,0.6737247278665164,0.6005544789046955,0.635038852896747
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.9966458784357446,0.30759904833715235,0.7049847492605663,0.6802585110969376,0.6924009516628475
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.8731885539509365,0.322683826177085,0.7140967833919724,0.6441388508967986,0.677316173822915
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.625603560400302,0.4449908138105395,0.560605777800003,0.5495232328925228,0.5550091861894608
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.8305538516919864,0.31164816032546044,0.705234063113071,0.6722589890102731,0.6883518396745397
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.361626694939953,0.3598101403348275,0.6681771734922058,0.6144528465918278,0.6401898596651724
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",2.53277123627782,0.36329981688220636,0.6936955376856709,0.5883594438538697,0.6367001831177934
16,`` Apparently the commission did not really believe in this ideal . '',1.1930596157174564,0.20220912397478455,0.8191502648510406,0.7775170749472929,0.7977908760252154
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.9194602975157968,0.30337593185543066,0.7472296680028473,0.6524381562599294,0.6966240681445693
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",1.765246528378741,0.2987923848536164,0.6341500906499428,0.7841239671428609,0.7012076151463835
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",2.21780030219937,0.32214015130404566,0.7216063608258528,0.6391143168750222,0.6778598486959542
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",2.3449723977470542,0.35080935815919984,0.6980146477919301,0.6067503000055234,0.6491906418408
21,"The SEC will probably vote on the proposal early next year , he said .",0.7999999999999989,0.11856920422635202,0.9177011612423492,0.8479184568799502,0.8814307957736476
22,Not all those who wrote oppose the changes .,0.972765278018163,0.18124649188249334,0.908149177263182,0.745380348016457,0.8187535081175064
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",2.668542632336469,0.39107042907160383,0.6452405983110219,0.5764876289088635,0.6089295709283962
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,2.8281805538392097,0.43015754427138364,0.6034206422133602,0.5398042902197622,0.5698424557286165
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",1.9874687506009634,0.3694443544127369,0.6631173285642801,0.6010421017109121,0.6305556455872632
26,The SEC 's Mr. Lane vehemently disputed those estimates .,1.075488750216346,0.1931425614222114,0.8488535167807805,0.7688208852920502,0.8068574385777884
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",1.7856147071780555,0.2853105266433633,0.8172808801470076,0.6349816709463241,0.7146894733566365
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",1.2823435777158014,0.20126539421247477,0.8063631373146299,0.7912490597367768,0.7987346057875249
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,2.1436936117604617,0.3741941971844151,0.6391530463603786,0.6130046093277801,0.6258058028155848
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",2.225437583198021,0.32916476864027366,0.7239496909097227,0.6249818089110275,0.6708352313597262
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",2.5111367993468585,0.36093913357319923,0.6701156491612958,0.6107569114135458,0.6390608664268004
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",1.6649632037768507,0.26241344241108355,0.7599062592813484,0.7165405775792041,0.7375865575889166
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",1.4225858562346279,0.20949276629951183,0.8556371998596771,0.7345911332142854,0.7905072337004881
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",1.5283208335737193,0.2400346311719251,0.7839740229603868,0.7373835162586855,0.759965368828075
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",1.8109341067131854,0.2697069640357942,0.7415703974200348,0.7193535353305842,0.7302930359642057
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",2.1765315682332336,0.32681718992836256,0.7407205983519783,0.6169318897563927,0.6731828100716377
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",1.4222938475620461,0.20697030069890449,0.8560591457312918,0.7386451455421356,0.7930296993010955
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",2.0139296056047584,0.3211292363518716,0.6528202769864874,0.7070867275417098,0.6788707636481283
39,"For its employees to sign up for the options , a college also must approve the plan .",0.7777777777777786,0.1265736666106178,0.8579135808798104,0.8895104184103163,0.8734263333893822
40,"Some 4,300 institutions are part of the pension fund .",1.0,0.17718382013555792,1.0,0.6989700043360187,0.822816179864442
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",2.3874538028353944,0.36149665097817973,0.7036093604270648,0.5844255878023275,0.6385033490218204
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",2.333100683692258,0.37105284666885924,0.669421798257995,0.5930878206732294,0.6289471533311408
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",1.8366532707530308,0.2921670978020056,0.8198545212550405,0.6227437103022644,0.7078329021979942
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",1.5130684528960634,0.23243427058438085,0.8200866852520744,0.721367089983668,0.7675657294156191
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",2.4518694600713244,0.37793914848428245,0.6430667422518972,0.6023838739848143,0.6220608515157174
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",1.5312730847336358,0.23658605387716822,0.8023231102187257,0.7281040805723352,0.7634139461228315
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",2.205697601755616,0.34098251588232514,0.6682708871416843,0.650016840939379,0.6590174841176748
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",1.4301675212861351,0.2570420327980057,0.8210017576690304,0.6784637310219248,0.7429579672019943
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",1.9267820886507252,0.304495544387874,0.7392788584171996,0.6566242239594714,0.695504455612126
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",1.5431605693603183,0.26770751379423907,0.8350543462325881,0.652051030082579,0.7322924862057608
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",1.9392700330181887,0.29911997876549157,0.7572680351056186,0.6523076147378587,0.7008800212345083
52,"Solo woodwind players have to be creative if they want to work a lot , because their repertoire and audience appeal are limited .",2.3135744764721027,0.39934359988970686,0.5951478069289081,0.6062679192780459,0.6006564001102932
53,"The oboist Heinz Holliger has taken a hard line about the problem : He commissions and splendidly interprets fearsome contemporary scores and does some conducting , so he does n't have to play the same Mozart and Strauss concertos over and over again .",2.7104177492313957,0.3778042543185897,0.6342513952803618,0.6105898472909727,0.6221957456814103
54,"Richard Stoltzman has taken a gentler , more audience-friendly approach .",1.1595352274694068,0.20133168756759667,0.7892637221938954,0.8082997290653979,0.7986683124324035
55,"Years ago , he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi , which won audiences over to dreaded contemporary scores like Messiaen 's `` Quartet for the End of Time . ''",3.0077943918601644,0.45655570378011623,0.571943877581286,0.5176501357459222,0.543444296219884
56,"Today , the pixie-like clarinetist has mostly dropped the missionary work -LRB- though a touch of the old Tashi still survives -RRB- and now goes on the road with piano , bass , a slide show , and a repertoire that ranges from light classical to light jazz to light pop , with a few notable exceptions .",2.2779135311065355,0.3531981768774864,0.6693884727859102,0.6256896679213207,0.6468018231225138
57,"Just the thing for the Vivaldi-at-brunch set , the yuppie audience that has embraced New Age as its very own easy listening .",1.7708285197043718,0.27180787335658274,0.7481637960643134,0.7092589916930142,0.7281921266434169
58,But you ca n't dismiss Mr. Stoltzman 's music or his motives as merely commercial and lightweight .,1.486382639009081,0.21688038478796404,0.82848448252515,0.7424648759930087,0.7831196152120359
59,"He believes in what he plays , and he plays superbly .",1.2924812503605776,0.24804001964049943,0.8317727126205168,0.6861230575340913,0.7519599803595005
60,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",1.350691808409536,0.21072726397449326,0.8871818828815968,0.7108261581071115,0.7892727360255065
61,"It felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",1.0751763457913297,0.1743385571369474,0.8590292547794185,0.7947889571050493,0.8256614428630527
62,"Clad in his trademark black velvet suit , the soft-spoken clarinetist announced that his new album , `` Inner Voices , '' had just been released , that his family was in the front row , and that it was his mother 's birthday , so he was going to play her favorite tune from the record .",2.66146079030748,0.3862794853258344,0.6481504278689213,0.5827639476960655,0.6137205146741658
