id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.14282553520638,0.43870151603231033,0.6105463899598824,0.5194024337265889,0.5612984839676909
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.7341516804806982,0.21083685986031342,0.8680908525762442,0.7233916297473488,0.7891631401396864
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.9377443751081724,0.1249307761810674,0.9425977456743656,0.8165694767029804,0.8750692238189324
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.666666666666667,0.10805101626208158,1.0000000000000002,0.8049710443358778,0.8919489837379186
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.638820256390705,0.23386653875476046,0.826298100039382,0.7141356265425876,0.7661334612452396
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.5836591668108975,0.08715508189603591,0.9582013815667277,0.8715882856335802,0.912844918103964
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.8181818181818181,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.9411764705882355,0.14616682756953456,0.8657743117440382,0.842216946636267,0.8538331724304655
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.1989667380414817,0.16586993825472626,0.8140197888483379,0.8552591486704162,0.8341300617452735
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.5063486649862634,0.2140796782969267,0.8440825305308775,0.7352568377514789,0.7859203217030735
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.3075821731784814,0.17504449758657908,0.8687794714187589,0.7853404595950987,0.8249555024134209
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.8235294117647083,0.1196849857637141,0.9279108711221055,0.8373636472912416,0.8803150142362861
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.5699634674227347,0.20729023920408565,0.847766934845962,0.7443677207005504,0.7927097607959145
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.3654759999380506,0.17049042108768192,0.9046238180058945,0.7659130079826397,0.8295095789123181
16,`` Apparently the commission did not really believe in this ideal . '',0.519606730935652,0.07904470615755656,1.0,0.8534913230073067,0.9209552938424435
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",0.8116171848532252,0.11635967653341991,0.902393154282682,0.8656510386449378,0.8836403234665801
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.4172097224626077,0.05749879267362435,0.9282863095370067,0.957158222255752,0.9425012073263757
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.4636099238067555,0.17279823483648044,0.8726847243589749,0.7862249536232887,0.8272017651635201
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.2431364286950544,0.15510373448257925,0.908049750554202,0.7899560205649644,0.8448962655174207
21,"The SEC will probably vote on the proposal early next year , he said .",0.5333333333333323,0.07325556665525833,0.9619796142199876,0.8939992234916214,0.9267444333447414
22,Not all those who wrote oppose the changes .,0.44444444444444464,0.07538827312875093,0.9246117268712492,0.9246117268712492,0.9246117268712492
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.3361382144744933,0.1617629749489231,0.8460288852119615,0.8305873799513654,0.8382370250510773
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,1.7593978953180782,0.2209316920602377,0.7852949237484477,0.7729396572337089,0.7790683079397623
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.9455305560363261,0.14054389947437193,0.8851092129118406,0.8352481119808837,0.859456100525628
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.8754887502163449,0.15177409542471376,0.9244267583903902,0.7836309070274349,0.848225904575286
