id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.5341158738654106,1.0,0.0,1.0,0.0
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.9328636294452695,1.0,0.0,1.0,0.0
2,Ms. Haag plays Elianti .,1.3709505944546687,1.0,0.0,1.0,0.0
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",2.9659573209491747,1.0,0.0,1.0,0.0
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",2.4508257945180882,1.0,0.0,1.0,0.0
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.917820219041696,1.0,0.0,1.0,0.0
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,2.789898095464287,1.0,0.0,1.0,0.0
7,The new rate will be payable Feb. 15 .,2.94770277922009,1.0,0.0,1.0,0.0
8,A record date has n't been set .,2.5,1.0,0.0,1.0,0.0
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.6601297526332566,1.0,0.0,1.0,0.0
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,3.187601311512056,1.0,0.0,1.0,0.0
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.7530155938990255,1.0,0.0,1.0,0.0
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.920725303788384,1.0,0.0,1.0,0.0
13,The proposed changes also would allow executives to report exercises of options later and less often .,2.8665871058289594,1.0,0.0,1.0,0.0
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,3.144307493621765,1.0,0.0,1.0,0.0
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",3.1993876550867504,1.0,0.0,1.0,0.0
16,`` Apparently the commission did not really believe in this ideal . '',2.873140679513133,1.0,0.0,1.0,0.0
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",2.9492553971685,1.0,0.0,1.0,0.0
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",3.266332639970623,1.0,0.0,1.0,0.0
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",3.2336062969232184,1.0,0.0,1.0,0.0
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",3.1084528468535213,1.0,0.0,1.0,0.0
21,"The SEC will probably vote on the proposal early next year , he said .",3.240223928941852,1.0,0.0,1.0,0.0
22,Not all those who wrote oppose the changes .,2.4193819456463714,1.0,0.0,1.0,0.0
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",3.219841929151772,1.0,0.0,1.0,0.0
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,3.1044468738904603,1.0,0.0,1.0,0.0
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",2.557727778739319,1.0,0.0,1.0,0.0
26,The SEC 's Mr. Lane vehemently disputed those estimates .,2.6464393446710153,1.0,0.0,1.0,0.0
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",2.736440501696144,1.0,0.0,1.0,0.0
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",3.155565013329718,1.0,0.0,1.0,0.0
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,2.804596529702447,1.0,0.0,1.0,0.0
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",3.1324168623183737,1.0,0.0,1.0,0.0
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",3.317407858202761,1.0,0.0,1.0,0.0
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",3.0792258015191027,1.0,0.0,1.0,0.0
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",3.136863709607318,1.0,0.0,1.0,0.0
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",3.086048612313038,1.0,0.0,1.0,0.0
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",3.3061706517091873,1.0,0.0,1.0,0.0
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",3.026277013101236,1.0,0.0,1.0,0.0
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",3.1830025446548,1.0,0.0,1.0,0.0
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",3.260828171224455,1.0,0.0,1.0,0.0
39,"For its employees to sign up for the options , a college also must approve the plan .",3.127986806877675,1.0,0.0,1.0,0.0
40,"Some 4,300 institutions are part of the pension fund .",2.321928094887362,1.0,0.0,1.0,0.0
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",2.996624141510993,1.0,0.0,1.0,0.0
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",2.9538063731601096,1.0,0.0,1.0,0.0
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",2.7136874387933565,1.0,0.0,1.0,0.0
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",3.0463811129458835,1.0,0.0,1.0,0.0
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",3.1377785457145273,1.0,0.0,1.0,0.0
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",3.079245393062508,1.0,0.0,1.0,0.0
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",3.1895415173391393,1.0,0.0,1.0,0.0
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",2.5175199783432034,1.0,0.0,1.0,0.0
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",2.976550757009136,1.0,0.0,1.0,0.0
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",2.527495543791609,1.0,0.0,1.0,0.0
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",3.0002464095783576,1.0,0.0,1.0,0.0
52,"Solo woodwind players have to be creative if they want to work a lot , because their repertoire and audience appeal are limited .",2.923533209849189,1.0,0.0,1.0,0.0
53,"The oboist Heinz Holliger has taken a hard line about the problem : He commissions and splendidly interprets fearsome contemporary scores and does some conducting , so he does n't have to play the same Mozart and Strauss concertos over and over again .",3.518884391699703,1.0,0.0,1.0,0.0
54,"Richard Stoltzman has taken a gentler , more audience-friendly approach .",2.9139770731827523,1.0,0.0,1.0,0.0
55,"Years ago , he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi , which won audiences over to dreaded contemporary scores like Messiaen 's `` Quartet for the End of Time . ''",3.1298678155345616,1.0,0.0,1.0,0.0
56,"Today , the pixie-like clarinetist has mostly dropped the missionary work -LRB- though a touch of the old Tashi still survives -RRB- and now goes on the road with piano , bass , a slide show , and a repertoire that ranges from light classical to light jazz to light pop , with a few notable exceptions .",3.115887662276164,1.0,0.0,1.0,0.0
57,"Just the thing for the Vivaldi-at-brunch set , the yuppie audience that has embraced New Age as its very own easy listening .",3.170543891762937,1.0,0.0,1.0,0.0
58,But you ca n't dismiss Mr. Stoltzman 's music or his motives as merely commercial and lightweight .,3.239097917988786,1.0,0.0,1.0,0.0
59,"He believes in what he plays , and he plays superbly .",2.355388542207534,1.0,0.0,1.0,0.0
60,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",2.851149423893033,1.0,0.0,1.0,0.0
61,"It felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",2.9638096525384383,1.0,0.0,1.0,0.0
62,"Clad in his trademark black velvet suit , the soft-spoken clarinetist announced that his new album , `` Inner Voices , '' had just been released , that his family was in the front row , and that it was his mother 's birthday , so he was going to play her favorite tune from the record .",3.2619947754601215,1.0,0.0,1.0,0.0
63,"He launched into Saint-Saens 's `` The Swan '' from `` Carnival of the Animals , '' a favorite encore piece for cellists , with lovely , glossy tone and no bite .",2.8515296352190513,1.0,0.0,1.0,0.0
64,"Then , as if to show that he could play fast as well , he offered the second movement from Saint-Saens 's Sonata for Clarinet , a whimsical , puckish tidbit that reflected the flip side of the Stoltzman personality .",3.470135468392373,1.0,0.0,1.0,0.0
65,"And so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",3.2393169730084828,1.0,0.0,1.0,0.0
66,"Mr. Stoltzman introduced his colleagues : Bill Douglas , pianist/bassoonist/composer and an old buddy from Yale , and jazz bassist Eddie Gomez .",2.7296000026291853,1.0,0.0,1.0,0.0
67,"An improvisational section was built around pieces by Mr. Douglas , beginning with `` Golden Rain , '' a lilting , laid-back lead in to the uptempo `` Sky , '' which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers .",3.1244310015906263,1.0,0.0,1.0,0.0
68,Bach 's `` Air '' followed .,2.1280852788913944,1.0,0.0,1.0,0.0
69,"Mr. Stoltzman tied the composer in by proclaiming him `` the great improviser of the 18th century , '' and then built on the image by joining with Mr. Douglas in some Bach two-part inventions , cleverly arranged for clarinet and bassoon by Mr. Douglas .",3.2509910367378043,1.0,0.0,1.0,0.0
70,"Keeping the mood light , the two then chanted and chortled their way through some murderous polyrhythms , devised by Mr. Douglas as an alternative to Hindemith 's dry theory-teaching techniques , and then , with Mr. Gomez , soared and improvised on the composer 's tight `` Bebop Etudes . ''",3.341073431716849,1.0,0.0,1.0,0.0
71,"The end of the first half , however , brought what the standing-room-only crowd seemed to be waiting for : the pop singer Judy Collins , who appears on `` Inner Voices . ''",3.1853735923368958,1.0,0.0,1.0,0.0
72,"Glamorous and pure-voiced as ever , Ms. Collins sang Joni Mitchell 's `` For Free '' -- about an encounter with a street-corner clarinetist , to which Mr. Stoltzman contributed a clarinet obligatto -- and Mr. Douglas 's lush setting of a Gaelic blessing , `` Deep Peace . ''",3.16604988153611,1.0,0.0,1.0,0.0
73,"`` Deep Peace '' also featured a slide show of lovely but predictable images of clouds , beaches , deserts , sunsets , etc .",2.6276013115120564,1.0,0.0,1.0,0.0
74,"It was all too mellow to be believed , but they probably would have gotten away with it , had they not felt compelled to add Ms. Collins 's signature tune , `` Amazing Grace , '' and ask for audience participation .",3.3234186061539535,1.0,0.0,1.0,0.0
75,That went over the permissible line for warm and fuzzy feelings .,2.8553885422075336,1.0,0.0,1.0,0.0
76,Was this why some of the audience departed before or during the second half ?,3.006238928653389,1.0,0.0,1.0,0.0
77,Or was it because Ms. Collins had gone ?,2.725480556997868,1.0,0.0,1.0,0.0
