id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,6.510705642746285,0.9161100088955554,0.08443667095776322,0.08335034460199252,0.08388999110444471
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",3.674050433482802,0.5766927258809402,0.45976351666413035,0.39220776151405856,0.42330727411905966
2,Ms. Haag plays Elianti .,1.3509775004326938,0.41027247824384333,0.7082316448032829,0.5051961085524235,0.5897275217561565
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",2.4692038992627063,0.399893594503595,0.6246631340709042,0.5774073924755374,0.6001064054964048
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.9266179565636454,0.39238865007227797,0.6086429646804641,0.6065832263128227,0.6076113499277218
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.2807486017267697,0.3777543297600157,0.6437856984474175,0.6021003658395198,0.6222456702399846
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.7836591668108968,0.30947739786267364,0.7132511752667201,0.6691978394731628,0.690522602137326
7,The new rate will be payable Feb. 15 .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.9184649394575018,0.8824880799443541
8,A record date has n't been set .,1.3443609377704333,0.2887596997535768,0.6622556248918265,0.7680502228963819,0.711240300246423
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.2220257359304316,0.4053081716167515,0.6128058174828402,0.5776179606990152,0.5946918283832484
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,2.5752216163041495,0.4240799561015527,0.5485738028640409,0.6061357298873251,0.575920043898447
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",3.4285235992573204,0.5899266184485453,0.4328446589621515,0.3895782803388203,0.4100733815514547
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.939131617685719,0.4854325347914233,0.533349348445851,0.4970633910054454,0.5145674652085768
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.9482009105155162,0.33845634100185057,0.6641932523927881,0.6589151210746802,0.6615436589981495
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,3.1961688093179417,0.5157157274573527,0.47727061026409473,0.49150714580157306,0.48428427254264744
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",3.5725746436531187,0.5453987916789962,0.465372659890221,0.4443171057123873,0.4546012083210037
16,`` Apparently the commission did not really believe in this ideal . '',1.1930596157174573,0.2022091239747847,0.8191502648510405,0.7775170749472928,0.7977908760252153
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",2.1576351984400177,0.38311344375444295,0.5889976386185148,0.6475478126273182,0.6168865562455567
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",1.6960736118322677,0.26412198157027383,0.7233618063223908,0.7488349888868091,0.7358780184297261
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",3.0358875043223716,0.45265214522927644,0.5676326584462823,0.5284628164930868,0.5473478547707238
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",2.676676411302393,0.4213407354324444,0.59130432278536,0.5665437126374009,0.5786592645675557
21,"The SEC will probably vote on the proposal early next year , he said .",1.167318333621795,0.1829711010645769,0.80433914007434,0.8301254792600823,0.8170288989354227
22,Not all those who wrote oppose the changes .,1.0566416671474381,0.2183701645473637,0.7816298354526364,0.7816298354526364,0.7816298354526364
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",3.3288203080525025,0.4972199994110955,0.5227032621821533,0.4843197576101947,0.5027800005889045
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,3.5843578316024733,0.5687134585966678,0.43779372403817435,0.4249699657432104,0.4312865414033323
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",2.2096909728231857,0.41075254876810874,0.6196759928464199,0.5616673627374591,0.5892474512318913
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.6754887502163465,0.12130822140392354,0.9244267583903902,0.8372688393501769,0.8786917785960764
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",2.765188665691678,0.47334296243696644,0.5621610220110739,0.49537124523955767,0.5266570375630337
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",1.9741986844382593,0.32360710152679845,0.6538298227101912,0.7005688974270796,0.6763928984732015
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,2.8551247233242436,0.500890097762015,0.5071990564167848,0.49127472016249685,0.49910990223798485
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",3.064982668490996,0.49715762108779066,0.49483025481514403,0.5111182324330412,0.5028423789122093
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",3.136991744255769,0.47305293628257034,0.5266738520568818,0.527220558981779,0.5269470637174295
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",2.1417916126710788,0.3339538836084072,0.6936229954602066,0.6405781790630525,0.6660461163915925
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",2.4224174001560392,0.4235813865784542,0.5254416084281262,0.638349670705851,0.5764186134215457
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",1.5430243061565179,0.25171032245488956,0.7432051954079227,0.7534442077330804,0.7482896775451103
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",1.8375940220213227,0.2747684681025091,0.7335067134434211,0.7171409831393942,0.7252315318974909
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",2.7972212234056464,0.4528428330501686,0.558409416810258,0.5363494375278659,0.5471571669498314
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",2.5132029384711365,0.39631851643094546,0.6013455049603408,0.6060356815743565,0.6036814835690545
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",2.119192763499494,0.3323357386617569,0.6528202769864875,0.6831990044971169,0.667664261338243
39,"For its employees to sign up for the options , a college also must approve the plan .",1.8197159723424141,0.29950772608696813,0.6803055569795736,0.7219136277507268,0.7004922739130316
40,"Some 4,300 institutions are part of the pension fund .",1.4754887502163458,0.3094326871657773,0.7090828300395258,0.6729941407529235,0.6905673128342226
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",2.786468468852067,0.43823463189653994,0.5959915885779096,0.5312567009927499,0.5617653681034599
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",3.016215770009793,0.5381611377857627,0.4381557638541522,0.4882284799403938,0.4618388622142373
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",2.5416430436769826,0.42265030563203465,0.6397090425100808,0.5260681510451126,0.5773496943679651
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",2.065908475488291,0.34681389025596154,0.6386123384466524,0.6684405915648097,0.6531861097440382
