id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.458695578948333,1.0,0.0,1.0,0.0
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.9328636294452695,1.0,0.0,1.0,0.0
2,Ms. Haag plays Elianti .,1.3709505944546687,1.0,0.0,1.0,0.0
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",2.9659573209491747,1.0,0.0,1.0,0.0
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",2.4508257945180882,1.0,0.0,1.0,0.0
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.917820219041696,1.0,0.0,1.0,0.0
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,2.789898095464287,1.0,0.0,1.0,0.0
7,The new rate will be payable Feb. 15 .,2.94770277922009,1.0,0.0,1.0,0.0
8,A record date has n't been set .,2.5,1.0,0.0,1.0,0.0
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.6601297526332566,1.0,0.0,1.0,0.0
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,3.187601311512056,1.0,0.0,1.0,0.0
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.7530155938990255,1.0,0.0,1.0,0.0
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.920725303788384,1.0,0.0,1.0,0.0
13,The proposed changes also would allow executives to report exercises of options later and less often .,2.8665871058289594,1.0,0.0,1.0,0.0
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,3.144307493621765,1.0,0.0,1.0,0.0
