id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.5078938790471765,0.42768876592278426,0.5392744443445217,0.6096599491117882,0.5723112340772155
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.7095735635771705,0.23515215229692782,0.7436553901228319,0.7872836085396048,0.7648478477030722
2,Ms. Haag plays Elianti .,0.5509775004326936,0.16732395949356627,1.0,0.7133204400839018,0.8326760405064336
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.588721875540866,0.24611755514330105,0.6983576111482148,0.8189992199426396,0.7538824448566989
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.3333333333333348,0.24228070939499,0.7577192906050102,0.7577192906050102,0.7577192906050101
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.0393692913819406,0.16374928373853273,0.8169511023970811,0.8564842595440749,0.8362507162614672
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.3836591668108982,0.2346462183570577,0.7074096709670947,0.8336372241241875,0.7653537816429424
7,The new rate will be payable Feb. 15 .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.9184649394575018,0.8824880799443541
8,A record date has n't been set .,0.25,0.047619047619047616,1.0,0.9090909090909092,0.9523809523809524
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.9855816177743231,0.1600137108155382,0.8147362262545366,0.866851492968232,0.839986289184462
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.6945811190640097,0.25397068603519657,0.6720419777471559,0.8383230909002533,0.7460293139648034
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.498813814213933,0.2301148914091605,0.7653942806079796,0.7744289460216185,0.7698851085908396
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.345879056678963,0.20777537983334102,0.7234670970095316,0.8754239574640172,0.7922246201666593
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.3829279414309985,0.21876892173612295,0.7565230221504288,0.8076075562195615,0.7812310782638776
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.050925265905657,0.30043502707262604,0.6743399681770194,0.7267504959233605,0.6995649729273739
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.7566314806260488,0.24415402833697386,0.7404787417979625,0.7718645544575068,0.7558459716630261
16,`` Apparently the commission did not really believe in this ideal . '',0.6734528847818062,0.10490354572408685,0.949175149309976,0.846847799710819,0.8950964542759131
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.0106136770500234,0.15461080792737852,0.8090466247461788,0.8851503572107218,0.8453891920726215
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",1.0474862762374082,0.16012152104761085,0.7457949242891949,0.9611265597251768,0.8398784789523891
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.7333136619929856,0.2293097588865766,0.7255951314509526,0.8217620410047227,0.7706902411134235
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.530705902017072,0.2166943619474791,0.741967891739704,0.8295213054236199,0.7833056380525205
21,"The SEC will probably vote on the proposal early next year , he said .",0.5836591668108975,0.08381746371967395,0.9096086714135928,0.9228521132923116,0.9161825362803261
22,Not all those who wrote oppose the changes .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.918464939457502,0.8824880799443541
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.9897614732239681,0.27123977897317947,0.653248447035517,0.8240111885897158,0.7287602210268204
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,1.7274704551962365,0.2353549783286909,0.7103924015122647,0.827869348401935,0.7646450216713089
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.8616541669070532,0.13245152019228265,0.8639316648262616,0.8711957054013171,0.8675484798077175
26,The SEC 's Mr. Lane vehemently disputed those estimates .,1.6364527976600276,0.35517897140517835,0.5613109177123412,0.7575229638522974,0.6448210285948216
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",1.0577842478297024,0.16307910211720986,0.7940421463829428,0.8846949553645586,0.8369208978827901
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",0.671309868534915,0.09165852758660527,0.9034405474017482,0.9132958598776049,0.9083414724133941
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.4190582249487989,0.21167632623673413,0.7964770008258942,0.7803355821880058,0.7883236737632655
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",1.582402228150114,0.21328989891171146,0.759381120283443,0.8160795736875114,0.786710101088288
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",1.7518508480286714,0.24465325586282125,0.7105114469389239,0.806221626426889,0.7553467441371785
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",1.7260985659562298,0.25275532808697765,0.7073910801102632,0.7918569740725818,0.7472446719130219
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",1.0961690480311335,0.1500057523732954,0.8284013040912295,0.8727429927956794,0.8499942476267041
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",0.8197159723424141,0.1123219893405531,0.8205019727013756,0.9668345735606346,0.8876780106594471
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",1.576724456803933,0.2160936604016898,0.7305181724027912,0.8457132635305789,0.7839063395983107
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",1.5281244428045904,0.2345759393926669,0.6762979774172042,0.8816068158994881,0.7654240606073331
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",1.6330398609675987,0.2337869444758499,0.6913482698515463,0.859260765079199,0.7662130555241504
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",1.1062921057186212,0.16370149885048269,0.7461680789974038,0.9511942486226849,0.8362985011495169
39,"For its employees to sign up for the options , a college also must approve the plan .",0.7505430557959407,0.11201436227959627,0.8594805971979721,0.9184463009531736,0.8879856377204035
40,"Some 4,300 institutions are part of the pension fund .",0.9509775004326926,0.17967113101375665,0.8203288689862431,0.8203288689862431,0.820328868986243
