id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.400317385123141,0.46481803797228166,0.5835791750531036,0.49419733679139927,0.5351819620277182
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.8198604751790617,0.21536870100136982,0.8867046343834544,0.7036323930916883,0.7846312989986299
2,Ms. Haag plays Elianti .,1.3509775004326938,0.41027247824384333,0.7082316448032829,0.5051961085524235,0.5897275217561565
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.8754887502163458,0.11881719490753548,0.931764684577758,0.83580993559583,0.8811828050924644
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.8333333333333339,0.13881350541022108,0.9394298226512527,0.7949745704851611,0.8611864945897791
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.4622886881574724,0.19971261155221384,0.9018674043932012,0.7192734717923347,0.8002873884477864
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.7169925001442303,0.10924009703193449,0.9164027631334556,0.8665130607049908,0.8907599029680653
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.8181818181818181,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.92790808887161,0.1471505657637231,0.8468857435314945,0.8588977121074987,0.8528494342362771
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,0.9705865002596132,0.12911670176145937,0.8838397343940443,0.8583012375394987,0.8708832982385403
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.260898196195055,0.17032132858543933,0.9375128803359806,0.744092033148298,0.8296786714145606
