id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.520647689694484,0.47848628465284304,0.5660513993639803,0.48347338069858276,0.5215137153471562
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.7436290977604987,0.20849468598221693,0.8852599127276662,0.7157073945533265,0.7915053140177828
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.9754887502163454,0.13421015906642383,0.9030635574149407,0.8314710853559227,0.8657898409335759
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.6666666666666661,0.10805101626208143,1.0000000000000002,0.8049710443358778,0.8919489837379186
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.3243576536747144,0.18434736233404833,0.9018674043932012,0.7444831500037125,0.8156526376659519
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.4503258334775637,0.06861109109953038,0.9582013815667277,0.9060361287804416,0.9313889089004694
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.8181818181818181,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.7502875001272633,0.11733047685510843,0.8888417357527219,0.8765824404024586,0.8826695231448916
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.0505865002596133,0.13828736247790338,0.8838397343940443,0.8406663935005696,0.8617126375220963
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.5410531203719184,0.20923085165582525,0.8889921651947467,0.7120915380365601,0.7907691483441747
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.552051945005962,0.20856021140294795,0.8303308488049426,0.7560288858688816,0.791439788597052
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.7058823529411775,0.10086259659215153,0.9639554355610528,0.842487111625221,0.8991374034078488
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.8752764264238513,0.2369366925194308,0.8527959269318401,0.6904165217146238,0.7630633074805693
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.616714270676531,0.20586387484636887,0.8492012137166147,0.7457773884049428,0.7941361251536314
16,`` Apparently the commission did not really believe in this ideal . '',0.519606730935652,0.07904470615755656,1.0,0.8534913230073067,0.9209552938424435
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.0633378176630028,0.14921648923228922,0.8876567166911618,0.8168515472677135,0.8507835107677107
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.5283208335737193,0.07171369046299327,0.9282863095370067,0.9282863095370066,0.9282863095370067
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.3317635854095666,0.1582328915417716,0.8824339351247837,0.8046834026373727,0.8417671084582287
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.2355746427953278,0.15796401267277602,0.8831840085828898,0.8045514973538234,0.8420359873272238
21,"The SEC will probably vote on the proposal early next year , he said .",0.6666666666666661,0.09327773668333746,0.923959228439975,0.8901166500171122,0.9067222633166623
22,Not all those who wrote oppose the changes .,0.44444444444444464,0.07538827312875093,0.9246117268712492,0.9246117268712492,0.9246117268712492
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.3919321648569465,0.16740650499500104,0.8459113377161577,0.8196884989208391,0.8325934950049989
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,1.5724983359591516,0.19339952263646873,0.8301268752779916,0.7843708387217433,0.8066004773635315
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.7924812503605789,0.11659578834603161,0.9191262967052749,0.8503549433237104,0.8834042116539682
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.8754887502163449,0.15177409542471376,0.9244267583903902,0.7836309070274349,0.848225904575286
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",0.8170683531015355,0.1136997985281749,0.9316223547887122,0.8451831950475955,0.8863002014718252
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",0.8818361843243885,0.11581744182124647,0.9142314782586751,0.8560460734296038,0.884182558178753
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.1417916126710788,0.15788883733393794,0.9177947962296034,0.7779587555843538,0.842111162666062
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",1.2506982145947791,0.16078420994369785,0.8493393633402825,0.8293307069541985,0.8392157900563019
