id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.28477999166964,0.44927438005510145,0.6034080775392985,0.5065037061003652,0.550725619944899
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.7736428730057874,0.20751605751824906,0.9058635550138641,0.7043288042404642,0.7924839424817508
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.9377443751081724,0.1249307761810674,0.9425977456743656,0.8165694767029804,0.8750692238189324
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.0000000000000009,0.16207652439312242,0.9394298226512525,0.7562138054198472,0.8379234756068777
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.4714149814847275,0.19611464714882906,0.9282999916145589,0.7088784982905487,0.8038853528511711
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.5836591668108975,0.08715508189603591,0.9582013815667277,0.8715882856335804,0.912844918103964
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.8181818181818181,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.7946926473133509,0.12514359498768746,0.8748564050123129,0.874856405012313,0.8748564050123129
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,0.7003910001730747,0.09182660141565196,0.9351958266885141,0.8826687376125499,0.9081733985843475
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.1625614538363722,0.15915212359909636,0.9375128803359805,0.7622535025341821,0.8408478764009035
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.5758515266609958,0.2035386966964039,0.8693436512062129,0.7348540351394328,0.7964613033035961
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.7058823529411793,0.10086259659215178,0.9639554355610528,0.842487111625221,0.8991374034078488
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.7086097597571852,0.21730315258539512,0.8690044782855921,0.7119841348434374,0.7826968474146051
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.6055727935021409,0.2032686705314257,0.8569075585159209,0.7444522600733032,0.7967313294685742
16,`` Apparently the commission did not really believe in this ideal . '',0.6734528847818062,0.10490354572408685,0.9491751493099762,0.8468477997108191,0.8950964542759132
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.425162916738783,0.18905646443050383,0.8950249354869217,0.7413032265866002,0.8109435355694963
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.5974937501201936,0.07717208180737699,0.9698357992989892,0.8801663115996204,0.9228279181926231
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.397967532314281,0.16676031459209148,0.8700299507408201,0.7994346283870186,0.8332396854079089
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.1072825000618103,0.13657359342946862,0.9386998337028013,0.7993289917673647,0.8634264065705312
21,"The SEC will probably vote on the proposal early next year , he said .",0.3999999999999977,0.0539535750628667,1.0,0.8976167900760738,0.946046424937133
22,Not all those who wrote oppose the changes .,0.44444444444444464,0.07538827312875093,0.9246117268712492,0.9246117268712492,0.9246117268712492
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.2596714243236802,0.14857422215359678,0.8820774067432816,0.8228328592947545,0.8514257778464033
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,1.899788895491156,0.23243720997517342,0.794081003567956,0.7427584841600271,0.7675627900248267
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.945530556036327,0.13605000891516505,0.9191262967052751,0.815023129312031,0.8639499910848348
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.8754887502163449,0.15177409542471376,0.9244267583903902,0.7836309070274349,0.848225904575286
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",0.6870927081530454,0.09339283052926566,0.9756213805419847,0.8467118537693645,0.9066071694707344
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",0.7765730264296513,0.10060171741149306,0.9428209855057834,0.8597992414107672,0.8993982825885063
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.050882521761987,0.1435136587232784,0.9451965308197354,0.7829989906489943,0.8564863412767213
