id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,8.016001561360927,0.8450379510415308,0.16931842449698634,0.14284991725267293,0.15496204895846938
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.810254863199077,0.3437928941297974,0.717377228531468,0.604649202428903,0.6562071058702024
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.2754887502163461,0.18303982407351077,0.8169601759264891,0.8169601759264891,0.8169601759264891
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.0000000000000009,0.16207652439312242,0.9394298226512525,0.7562138054198472,0.8379234756068777
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.00623480922014,0.2649615455024713,0.8565999832291177,0.6436911697059627,0.7350384544975291
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.3006516669551296,0.1996968833661456,0.817028898935423,0.7842483993347263,0.8003031166338546
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.8181818181818181,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.265280882607466,0.18311807904033223,0.8888417357527216,0.7557010541025512,0.8168819209596676
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.3705865002596127,0.17668741252721437,0.8622383432902159,0.7877496253295784,0.8233125874727855
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.420433423664462,0.3259434491060446,0.7640179258667081,0.6030489116359509,0.6740565508939554
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.4835220381602934,0.3172906963480739,0.7533642385543599,0.6241708825076012,0.6827093036519264
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.0588235294117663,0.14879262644538604,0.9279108711221052,0.7862166818606052,0.8512073735546141
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.5830716024871236,0.3240153137842088,0.7609556397895083,0.608083920546964,0.6759846862157913
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",2.6570423959223772,0.32518309793007866,0.7507908939618978,0.6128058821008289,0.6748169020699212
16,`` Apparently the commission did not really believe in this ideal . '',0.6734528847818071,0.10010557226100235,1.0,0.8180073353228104,0.8998944277389977
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.9169925001442314,0.2512400842361932,0.836460828056531,0.6777042500359739,0.748759915763807
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.819715972342415,0.10900284077560685,0.9095073978969678,0.8732253309488066,0.890997159224393
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",2.3192836281317515,0.28077690437511565,0.7399731874630446,0.6996049957291494,0.7192230956248845
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.8792696431662073,0.22737655361095324,0.8562902846540155,0.7038512020466553,0.7726234463890465
21,"The SEC will probably vote on the proposal early next year , he said .",0.983659166810896,0.14401780280000526,0.8335678998535678,0.8796352259629645,0.8559821971999945
22,Not all those who wrote oppose the changes .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",2.4050402999213336,0.2797138069972291,0.7567625554778236,0.6871644945243993,0.7202861930027709
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,2.163854265848558,0.25688404034646006,0.7923164560874771,0.6996686184997022,0.74311595965354
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",1.5010861115918823,0.21949670078580963,0.8170750453249713,0.7470651503406035,0.7805032992141901
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.6754887502163465,0.11317814411679862,1.0,0.7966576244513051,0.8868218558832013
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",1.1870927081530454,0.15647246617253857,0.9360656992003815,0.7676397279282311,0.8435275338274615
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",0.8163039475961487,0.10929190536161228,0.9034405474017482,0.8783295386900205,0.8907080946383871
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.5963370672165338,0.21800360014334733,0.8629913270493389,0.714900357740881,0.7819963998566526
30,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''",1.6075617858997235,0.1918492568993467,0.8810456287745517,0.7463963096392972,0.8081507431006529
31,"But Robert Gabele , president of Invest/Net , a North Miami , Fla. , company that packages and sells the insider-trading data , said the proposal is worded so vaguely that key officials may fail to file the reports .",2.472346324739525,0.306305309177584,0.7355322884819085,0.6563604437792062,0.6936946908224155
32,"Many investors wrote asking the SEC to require insiders to report their purchases and sales immediately , not a month later .",1.1252221591892475,0.1478255832438057,0.8991841580162517,0.8098358444289052,0.8521744167561939
33,"But Mr. Lane said that while the SEC regulates who files , the law tells them when to do so .",0.7385607144917552,0.09401712257645478,0.9491927301960806,0.8665357947377996,0.9059828774235446
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",0.972765278018163,0.13204209186501462,0.8098785299271648,0.9350109973806348,0.8679579081349854
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",0.9023864131375436,0.11321117635642862,0.902768765736597,0.8713647648886562,0.8867888236435715
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",1.9822049467366911,0.2563055621714866,0.7800919178312397,0.7105420129460701,0.7436944378285134
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",1.3176952562231543,0.1599048913582459,0.8942367046563874,0.7921352492124853,0.8400951086417544
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",0.7765730264296513,0.10060171741149306,0.9166154028044929,0.8828160283066653,0.8993982825885061
39,"For its employees to sign up for the options , a college also must approve the plan .",1.0419381945646364,0.14277210001041318,0.9036976298548874,0.81530354999166,0.8572278999895867
40,"Some 4,300 institutions are part of the pension fund .",1.075488750216346,0.1931425614222114,0.8488535167807805,0.7688208852920502,0.8068574385777884
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",2.1352990389799107,0.27273251088212563,0.7758565339695614,0.6844056756086722,0.7272674891178741
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",1.3990532411413863,0.17570364919443368,0.8850371014963676,0.7713575142449175,0.8242963508055664
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",1.2504443183784986,0.16306416376095761,0.8982158777843683,0.7834833287480988,0.8369358362390424
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",1.286645238507326,0.17607155336712974,0.8692435029595227,0.7831039815516606,0.8239284466328701
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",1.8122852107216811,0.2542824513693642,0.7755129962239442,0.7181268927642765,0.7457175486306353
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",1.4941099120261008,0.19781638323571324,0.8744938919326808,0.7409184469653345,0.802183616764287
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",2.0155683827347337,0.25063926980021684,0.831534045605924,0.6819677570628742,0.7493607301997836
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",2.102805564200013,0.31058784070465056,0.8080016727513322,0.6011779371718705,0.6894121592953495
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",2.005479074769215,0.25187825066751307,0.8487850897489029,0.6688036611316694,0.7481217493324871
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",1.5178239514727245,0.2144929564593241,0.8695621978785251,0.7162697172432637,0.7855070435406757
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",2.1181352401800204,0.28928509388261997,0.7781703910230013,0.6540212547208287,0.7107149061173803
52,"Solo woodwind players have to be creative if they want to work a lot , because their repertoire and audience appeal are limited .",1.4947626242053005,0.1990761774160697,0.8702975347528701,0.7417935055510326,0.80092382258393
53,"The oboist Heinz Holliger has taken a hard line about the problem : He commissions and splendidly interprets fearsome contemporary scores and does some conducting , so he does n't have to play the same Mozart and Strauss concertos over and over again .",2.473384577802509,0.3005565878753847,0.765670182804419,0.6437611809729478,0.6994434121246151
54,"Richard Stoltzman has taken a gentler , more audience-friendly approach .",0.3636363636363642,0.055472735062568695,0.9445272649374314,0.9445272649374314,0.9445272649374314
55,"Years ago , he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi , which won audiences over to dreaded contemporary scores like Messiaen 's `` Quartet for the End of Time . ''",2.514258928801273,0.30841386442870333,0.7393700565510364,0.6496036287223997,0.6915861355712967
56,"Today , the pixie-like clarinetist has mostly dropped the missionary work -LRB- though a touch of the old Tashi still survives -RRB- and now goes on the road with piano , bass , a slide show , and a repertoire that ranges from light classical to light jazz to light pop , with a few notable exceptions .",3.1989492397185417,0.406458748900973,0.6761961856809341,0.5288920571118577,0.5935412510990272
