id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,5.320689968962396,0.8372272760256741,0.1197988699322498,0.25382342147243686,0.16277272397432577
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",3.782712497281925,0.6683242993414238,0.25106581515766013,0.488527623072564,0.331675700658576
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",3.167912321814562,0.6497023771399258,0.24511215302014083,0.6136228100718334,0.35029762286007415
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",2.8091254953788907,0.7872407375349381,0.13795332040412078,0.4647991329786876,0.2127592624650618
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",2.9977636305392394,0.7305753208921937,0.17015270249049505,0.6467673221892257,0.26942467910780626
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,2.3169925001442317,0.4215174769055976,0.4984165788007339,0.6891952737121021,0.5784825230944024
7,The new rate will be payable Feb. 15 .,1.945530556036327,0.44273762514732606,0.4153724229041637,0.8463848597938765,0.557262374852674
8,A record date has n't been set .,1.4512050593046006,0.35842888576998416,0.5195179762781593,0.8385841834634661,0.6415711142300156
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",2.918558314127126,0.6763451219794274,0.2199336095367344,0.6125217418590325,0.3236548780205726
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,3.243517824054666,0.7333262530466226,0.15924325875029405,0.8196048201922158,0.2666737469533775
